BLDG_ID_x,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
51662306,23.34000244,6520,30000511,220334.6651,634466.1055,5377.202581,646,2826
51662312,27.18997803,5900,30000542,222431.5036,633891.3872,12315.1332,1539,6424
51662314,0,,30001817,220386.4035,627856.7366,2888.478,1284,9709
51663120,20.30999756,1000,30001151,217723.8231,628620.9185,3987.6025,789,6258
51662352,13.09000244,,30000321,219138.7789,635256.3459,4348.037773,695,5212
52462777,8.33,1000,30001423,221352.4597,632030.0772,832.7013,992,3879
51662390,20.88000488,1000,30001424,220600.8655,632007.016,4858.693004,926,3668
52588224,6.35,1000,30001023,218961.7508,631112.9438,415.2408273,777,3742
51662408,12.2,5330,30000531,221522.5582,634040.1457,4770.015658,831,3313
51662418,27.33999023,,30001321,221109.0045,630876.4299,4060.717123,996,4708
51662419,11.32001953,5900,30001026,219314.0287,632480.3819,5122.571908,512,2052
51662421,20.12999268,,30001724,218222.5306,629779.864,3660.039446,675,5875
51662424,33.74001465,5710,30001712,217624.1295,631176.4229,14978.43937,673,5045
51662585,12.38000488,2303,30001423,221206.855,632019.2273,2615.800302,989,3703
51662608,15.84001465,5337,30000712,220691.8433,633382.8723,3893.669856,791,2951
51662660,9.88000488,7105,30000531,221478.0484,633814.2652,1807.149179,878,3478
51662666,14.87999268,5525,30001021,219814.7674,631045.7546,3102.08425,732,5099
52791452,20.44,1000,30001151,217784.2897,628514.1758,5312.7369,874,6680
51662725,5.35,,30000411,219312.5674,635555.1927,765.45885,631,4487
51662729,22.08997803,6520,30001423,221152.4624,631935.9614,1967.7002,1211,4599
51662744,11.86,6520,30001222,219493.3398,630386.0861,1216.17173,781,3766
51662755,8.92000732,5312,30000312,218052.9565,636190.4203,2207.243499,801,6000
51662775,7.86,5900,30001424,220729.8622,631994.8114,2508.855933,983,3741
51662806,16.15999756,5740,30000322,218791.8841,635326.4559,1837.166845,786,5644
52992037,22.11,1000,30001423,221360.5559,631948.5656,2469.287037,1008,3954
51662871,15.54002686,,30000811,220227.0326,633126.5706,2087.415653,486,1772
51662879,14.34002686,5340,30000711,220918.1953,633102.4188,2087.337712,661,2493
53349166,6.38,1000,30001023,218969.4727,631139.9312,163.8810156,782,3773
51662899,7.08999023,,30000411,219376.8228,635523.9668,725.4183652,787,5823
51662915,13.94000244,5900,30001322,221167.3114,631059.9503,1901.89761,1034,4929
51663186,14.69002686,3601,30001423,221116.3093,632113.8026,6723.520427,997,3595
51662956,12.2,5740,30001335,220965.3481,629100.0428,1093.040697,1268,9529
52562423,0,5000,30001132,216757.3828,629371.0156,1288.889634,928,7045
51662992,3.75,5710,30001114,214454.9281,630222.8951,842.273002,1490,10534
52556313,5.26,5151,30001221,218909.4457,629692.7268,1332.553212,837,5158
51663042,9.00998535,,30000411,219411.1897,635519.6498,780.3733908,791,5850
51663058,7.67999268,3600,30001132,217244.7869,629319.5557,3450.818576,782,6191
51663062,11.37001953,6520,30000711,221011.9064,633331.5593,1459.367692,751,2766
51663067,10.32001953,5305,30000411,219291.1842,635576.816,787.33135,630,4479
51663837,12.96998291,5202,30001024,218937.5017,630854.1431,1417.343734,733,3509
51663110,15.89998779,1000,30001426,220541.0934,631545.5993,3373.335279,780,3938
52440097,7.69,5202,30000411,219743.9976,635859.9305,223.5758639,861,6394
