locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt.1,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
30000112,0,0,56.5,86.65,1.4,0.7,3.3,1.5,1.5,43.9,8.9,60.3,18.3,4.1,9.5,29.7,14.4,8.5,8.4,11.1,18.5,,44.1,15.1,5.4,13.3,22.2,761.0,286.0,440.0,703.0,174.0,61800,22.82282282,13.91391391,13.41341341,12.81281281,11.31131131,8.508508509,4.404404404,5.805805806,5.605605606,1.401401401,ירושלים,1,31,,,0.07
30000114,0,0,50.8,91.95,1.1,2.4,2.1,2.9,5.2,32.3,4.5,65.9,65.9,4.8,18.7,16.3,8.5,7.5,8.8,8.6,31.6,,17.4,10.0,14.3,10.9,47.3,2473.0,341.0,447.0,1155.0,271.0,77900,15.41541542,11.01101101,13.01301301,16.01601602,12.21221221,10.31031031,9.209209209,7.107107107,5.105105105,0.600600601,ירושלים,1,31,,,0.023
30000116,0,0,62.5,87.15,1.1,1.1,1.7,1.3,3.2,41.0,7.1,69.9,14.9,4.3,15.3,11.6,14.9,12.0,15.6,11.5,18.9,,17.4,22.1,20.5,13.4,26.6,1713.0,141.0,493.0,911.0,131.0,72300,12.58741259,15.38461538,19.58041958,10.78921079,11.88811189,14.28571429,7.992007992,5.594405594,1.498501499,0.3996004,ירושלים,1,31,,,0.08
30000211,0,0,68.0,90.15,1.9,2.7,4.3,5.1,6.5,75.1,23.0,42.5,30.8,3.1,21.0,28.1,13.4,16.5,11.0,6.2,3.7,,30.0,33.4,19.2,11.1,6.3,1643.0,415.0,777.0,2100.0,876.0,104900,6.6,13.2,9.1,11.0,9.9,10.2,14.7,11.4,9.8,4.1,ירושלים,1,31,,,0.131
30000212,0,0,66.7,89.45,1.7,3.4,5.2,4.3,6.9,70.6,22.1,43.3,30.0,3.2,18.2,28.1,13.9,15.5,14.1,4.2,5.9,,24.8,27.4,30.5,7.1,10.2,1132.0,233.0,498.0,1315.0,546.0,102900,9.1,9.2,12.2,8.2,12.5,15.3,11.0,11.1,6.8,4.6,ירושלים,1,31,,,0.126
30000213,0,0,66.4,90.3,3.7,3.3,1.9,2.7,6.6,64.4,18.2,34.3,35.0,2.8,29.2,28.8,12.8,11.0,8.4,5.0,4.7,,33.0,24.9,19.0,15.5,7.7,1332.0,276.0,757.0,1708.0,892.0,98500,10.4,9.6,12.9,8.4,13.0,10.5,12.1,10.1,9.1,3.9,ירושלים,1,31,,,0.107
30000214,0,0,65.7,93.45,1.5,2.3,3.4,3.9,8.0,62.4,13.6,43.2,27.2,2.9,20.7,32.8,13.7,16.7,8.0,5.2,2.9,,32.9,36.9,18.2,6.9,5.1,514.0,131.0,300.0,621.0,237.0,79800,9.1,10.4,13.4,18.2,11.2,13.4,11.1,7.5,4.0,1.7,ירושלים,1,31,,,0.179
30000215,0,0,62.5,87.3,3.1,2.0,2.2,1.7,3.4,67.7,24.9,40.9,31.4,3.2,15.2,36.5,14.6,10.5,8.9,5.4,8.8,,28.9,27.1,16.3,11.3,16.4,1588.0,365.0,789.0,1732.0,664.0,95800,7.8,13.9,10.3,12.5,11.2,10.6,10.5,9.9,5.7,7.6,ירושלים,1,31,,,0.176
30000222,0,0,69.8,84.65,1.9,1.1,1.3,2.0,2.6,76.6,34.4,38.1,27.4,3.1,16.1,32.0,19.3,12.3,11.3,4.2,4.7,,35.6,26.6,20.0,10.0,7.8,986.0,293.0,605.0,1730.0,741.0,112200,10.4,8.8,9.2,9.2,8.4,9.9,11.1,11.0,13.4,8.6,ירושלים,1,31,,,0.158
30000223,0,0,73.5,89.7,0.9,1.6,1.8,2.0,5.2,81.0,41.7,41.9,21.9,3.3,16.5,25.5,15.5,16.3,14.1,7.7,4.4,,34.6,28.9,16.2,13.7,6.6,1196.0,422.0,1134.0,1986.0,513.0,103400,11.2,12.0,8.5,10.3,8.7,8.3,9.9,10.2,10.9,10.0,ירושלים,1,31,,,0.166
30000224,0,0,69.5,91.05,2.0,1.6,3.6,3.2,5.7,74.4,27.5,37.1,33.5,2.9,26.9,24.8,16.1,12.0,11.2,6.1,2.9,,30.1,27.8,23.8,12.7,5.5,731.0,236.0,416.0,1123.0,431.0,115200,6.4,9.9,7.2,6.6,13.3,13.8,9.7,11.5,16.7,4.9,ירושלים,1,31,,,0.133
30000225,0,0,65.4,90.85,1.6,1.6,4.4,1.5,4.9,73.8,24.0,37.7,34.2,3.0,21.1,29.5,12.5,16.8,9.9,6.0,4.2,,28.8,36.0,20.3,9.5,5.4,817.0,294.0,471.0,1535.0,727.0,100200,8.391608392,9.99000999,9.89010989,11.68831169,13.78621379,7.492507493,9.89010989,11.88811189,10.48951049,6.493506494,ירושלים,1,31,,,0.141
30000321,0,0,63.2,85.6,1.5,1.0,2.0,1.3,5.0,74.0,21.2,54.5,26.6,3.7,20.8,23.7,6.9,12.1,14.4,9.1,13.0,,18.6,21.8,21.3,16.5,21.8,1302.0,252.0,288.0,958.0,274.0,97000,14.2,10.6,9.0,10.6,11.4,9.9,10.2,11.9,5.9,6.3,ירושלים,1,31,,,0.153
30000323,0,0,59.3,80.7,1.7,1.5,1.2,0.1,1.7,75.5,29.7,42.1,37.2,3.3,16.1,32.6,17.3,8.8,7.1,7.3,10.9,,32.1,21.4,18.5,13.3,14.7,981.0,300.0,487.0,925.0,603.0,85900,19.8,11.6,10.0,7.9,5.9,8.3,6.8,8.2,11.2,10.3,ירושלים,1,31,,,0.134
30000324,0,0,59.3,80.7,1.7,1.5,1.2,0.1,1.7,75.5,29.7,42.1,37.2,3.3,16.1,32.6,32.6,8.8,7.1,16.1,17.3,,32.1,21.4,18.5,13.3,14.7,,,,,,85900,19.8,11.6,10.0,7.9,5.9,8.3,6.8,8.2,11.2,10.3,ירושלים,1,31,,,0.134
30000411,0,0,58.8,88.0,1.2,0.9,3.7,2.1,3.6,69.6,20.1,59.5,21.3,4.4,11.9,22.4,12.3,8.7,10.0,9.9,24.8,,14.9,18.1,15.4,17.6,34.1,2306.0,510.0,569.0,1490.0,376.0,82300,13.7,11.2,13.7,12.2,11.8,10.0,8.0,6.9,7.9,4.6,ירושלים,1,31,,,0.119
30000413,0,0,71.5,88.05,1.0,1.1,2.2,0.6,1.4,83.9,34.7,76.4,9.0,4.7,8.4,12.1,10.1,16.8,14.7,19.8,18.1,,10.4,24.6,21.6,23.7,19.8,1707.0,334.0,360.0,1095.0,108.0,120000,8.9,7.9,10.2,8.1,10.1,7.2,10.6,15.0,14.6,7.4,ירושלים,1,31,,,0.126
30000522,0,0,42.4,88.9,1.4,0.3,1.9,1.7,1.7,47.1,6.8,68.9,19.6,5.0,9.8,18.7,9.4,9.4,9.7,11.7,31.3,,16.1,14.1,13.3,13.5,43.0,2291.0,879.0,1369.0,1542.0,313.0,88500,20.5,7.7,12.9,5.7,8.8,8.5,13.8,7.2,9.0,5.9,ירושלים,1,31,,,0.131
30000532,0,0,55.0,90.8,0.4,0.6,2.1,1.9,3.1,31.5,2.5,62.2,7.8,4.5,11.2,23.0,8.4,12.4,10.4,10.2,24.5,,20.1,14.1,14.3,19.3,32.2,2348.0,537.0,783.0,1484.0,189.0,57400,18.98101898,18.88111888,19.08091908,12.18781219,11.88811189,5.594405594,5.794205794,5.194805195,2.097902098,0.2997003,ירושלים,1,31,,,0.098
30000541,0,0,61.8,86.15,0.8,1.3,1.9,1.5,4.6,70.3,21.0,39.9,32.9,2.8,25.7,30.2,14.9,11.1,9.7,4.4,4.0,,33.2,30.2,19.1,10.8,6.6,1281.0,354.0,714.0,1587.0,707.0,114300,9.5,7.5,9.4,8.5,7.5,12.0,8.7,11.9,11.6,13.4,ירושלים,1,31,,,0.137
