AssetId,bldgID,BuildingYear,AssetFloor
4275084,51919963,,1
4276212,53042142,,1
4276245,53228530,,1
4290872,52967712,,1
4290879,51935591,,1
4290880,51935837,,1
4290890,51911160,,1
4293930,51954224,,1
4294195,51911427,,2
4294207,51953549,,3
4294461,51953549,,1
4294480,51940292,,1
4294546,51909793,,2
4294611,51900380,,1
4294624,51936500,,1
4294691,51905407,,2
4294693,51910789,,
4294763,51909634,,3
4294769,51901231,,1
4294771,51936990,,
4294777,51918582,,3
4294784,51912301,,
4294787,51907500,,3
4294823,51919469,,4
4294883,52965388,,2
4294885,53225918,,2
4294889,51907979,,1
4294906,51907562,,4
4294907,51911858,,2
4294910,51904117,,1
4294918,51907999,,
4295216,51939402,,1
4295241,51937103,,1
4295312,51938597,,
4298500,51914474,,
4298501,51910849,,3
4298503,53032789,,2
4298504,51937018,,
4298527,51899832,,1
4298552,51662342,,1
4298570,51904631,,1
4298573,51911859,,2
4298606,51908751,,1
4298640,51908586,,
4298642,51909708,,1
4298688,53228984,,
4298726,51899934,,1
4298730,51907544,,1
4298731,51917429,,
4298740,51913315,,1
4298756,53227563,,3
4298760,51908932,,4
4298765,53164609,,1
4298766,51897222,,1
4298772,53228221,,
4298790,51936609,,2
4298807,51917549,,2
4298822,51916284,,1
4299069,51911844,,
4299072,65282064,,1
4299083,65282064,,3
4299099,51921348,,1
4299715,51911643,,1
4299717,51910783,,1
4299748,51902271,,
4299772,51909610,,1
4299799,51915418,,2
4299804,51909919,,2
4385829,51662342,1980,
4385830,51662342,1980,5
4385831,51662342,1980,3
4385832,51662342,1980,5
4385833,51662342,1980,2
4385834,51662342,1980,4
4385835,51662342,1980,4
4385836,51662342,1980,1
4385837,51662342,1980,3
4385838,51662342,1980,4
4385839,51662342,1980,1
4385840,51662342,1980,1
4385841,51662342,1980,5
4385843,51662342,1980,1
4385844,51662342,1980,5
4385845,51662342,1980,1
4385846,51662342,1980,1
4385847,51662342,1980,3
4385848,51662342,1980,1
4385849,51662342,1980,1
4385852,51662342,1980,1
4385853,51662342,1980,5
4385854,51662342,1980,5
4385855,51662342,1980,1
4385856,51662342,1980,2
4385857,51662342,1980,5
4385858,51662342,1980,4
