dealId,AssetId,date,area,rescode,pricePerMeter
6700000001,60101722,1998-01-05,67.1,1,15595.16
6700000002,60106752,1998-01-22,109.25,1,14583.56
6700000003,60105568,1998-01-25,117.89,1,14697.89
6700000004,60119047,1998-02-09,73.2,1,10815.39
6700000005,4298500,1998-03-15,89.0,1,17721.75
6700000006,60103049,1998-03-17,66.0,1,14081.23
6700000007,60102293,1998-03-20,85.2,1,11863.94
6700000008,60106062,1998-03-25,138.85,1,18230.63
6700000009,60120754,1998-03-27,46.6,1,15421.0
6700000010,60110884,1998-03-29,92.88,1,18360.17
6700000011,60105533,1998-04-03,117.89,1,14618.39
6700000012,4408786,1998-04-13,125.0,1,17551.08
6700000013,80984194,1998-04-22,149.4,1,11685.49
6700000014,60106732,1998-04-23,111.53,1,15366.43
6700000015,4298772,1998-04-29,140.0,1,14342.59
6700000016,60101163,1998-05-12,71.41,1,14283.74
6700000017,60105214,1998-05-21,82.0,1,12275.41
6700000018,60101109,1998-05-28,58.51,1,16577.1
6700000019,60102918,1998-05-28,98.94,1,11989.5
6700000020,60117398,1998-06-02,170.0,1,14078.25
6700000021,60100491,1998-06-14,92.43,1,15223.87
6700000022,60096129,1998-06-16,107.0,1,15592.04
6700000023,60099011,1998-06-17,35.0,3,49677.54
6700000024,60100492,1998-06-28,89.11,1,15705.41
6700000025,60104655,1998-07-08,42.2,1,15862.79
6700000026,60119649,1998-07-10,95.0,1,9353.89
6700000027,60104370,1998-07-16,30.4,1,42042.59
6700000028,60119037,1998-07-24,73.2,1,10846.95
6700000029,60095128,1998-07-27,105.27,3,16896.63
6700000030,60096781,1998-08-04,92.8,1,10124.81
6700000031,60106632,1998-08-05,118.0,1,16022.23
6700000032,60108152,1998-08-19,99.7,1,12664.44
6700000033,60110870,1998-08-19,75.87,1,20150.56
6700000034,60118527,1998-08-30,101.0,1,8430.95
6700000035,60099838,1998-09-01,56.68,1,9415.83
6700000036,60119188,1998-09-03,116.3,1,11674.82
6700000037,60105574,1998-09-07,133.34,1,15246.31
6700000038,60119332,1998-09-07,81.7,1,10153.42
6700000039,81011090,1998-09-08,121.0,1,12520.12
6700000040,80984209,1998-09-13,94.7,1,17870.81
6700000041,60117007,1998-09-28,48.7,1,19098.37
6700000042,60117197,1998-10-01,45.1,1,21664.57
6700000043,60119843,1998-10-01,132.0,1,10930.95
6700000044,60110346,1998-10-04,100.64,1,15583.04
6700000045,60106617,1998-10-17,101.4,1,18318.67
6700000046,60119156,1998-10-23,78.3,1,15918.63
6700000047,81154866,1998-10-25,153.2,1,17085.51
6700000048,60099675,1998-10-26,63.1,1,9297.83
6700000049,60110361,1998-10-27,118.0,1,13921.52
6700000050,60100132,1998-10-28,30.4,1,29926.54
6700000051,80984201,1998-10-28,96.6,1,18356.92
6700000052,60100272,1998-11-02,109.0,1,12918.01
6700000053,60096095,1998-11-04,78.65,1,14078.95
6700000054,60121808,1998-11-06,38.4,1,16458.72
6700000055,4521485,1998-11-22,102.0,1,9749.45
6700000056,60120148,1998-11-23,55.6,1,19237.24
6700000057,60101172,1998-11-26,87.36,1,14401.78
6700000058,60106743,1998-11-30,107.24,1,15318.32
6700000059,60101289,1998-12-06,120.0,1,12291.36
6700000060,60096477,1998-12-09,81.39,1,16208.69
6700000061,60117641,1998-12-17,49.8,1,16035.28
6700000062,60120607,1998-12-18,40.9,1,15319.32
6700000063,4294784,1998-12-23,88.0,1,13107.0
