SAID,dmg_prcA,dmg_prcB,dmg_prc
71000111,0.01,0.03,0.03
71000112,0,0,0
71000113,0.01,0.02,0.02
71000114,0,0.02,0.02
71000121,0,0.01,0.01
71000122,0,0.02,0.02
71000123,0.01,0.03,0.03
71000124,0,0.02,0.02
71000125,0,0.01,0.01
71000126,0,0,0
71000127,0,0,0
71000211,0,0,0
71000212,0,0.01,0.01
71000213,0,0,0
71000214,0,0.01,0.01
71000215,0.01,0.02,0.02
71000221,0,0,0
71000222,0,0.01,0.01
71000223,0,0,0
71000224,0,0.01,0.01
71000225,0.01,0.04,0.04
71000226,0.01,0.03,0.03
71000311,0,0.01,0.01
71000312,0,0,0
71000313,0,0.01,0.01
71000314,0,0,0
71000315,0,0,0
71000316,0,0.01,0.01
71000321,0,0.02,0.02
71000322,0,0.01,0.01
71000323,0,0.01,0.01
71000324,0,0.01,0.01
