locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
71000111,26.4,37.2,65.4,97.2,5.6,3.2,3,2.6,2.6,48,33.6,31.1,37,2.7,25,33.6,14.3,11.9,9.1,4.1,2.1,37.3,29.7,20.9,9.2,2.9,0.81,1,1.04,1.01,1.24,4400,108800,9.1,9.9,10.4,5.6,12.9,11,11.5,13.6,10.6,5.4,7100,1,31,64.3,0,35.7
71000112,38,0,66.6,94,7.4,3.6,3.4,4.2,4.9,45.8,31.7,35.3,30.1,2.8,21.6,30.2,19.2,12.7,9.5,4.7,2.1,38.3,27.3,23.2,7.4,3.9,0.88,1.02,1.25,1.03,0.9,4830,100900,8.8,11.2,8.2,12.2,11.8,8.2,13.2,9.8,9.4,7.2,7100,1,31,65.8,0,34.2
71000113,41.5,0,49.2,93.9,16.4,3.4,5.3,8.4,9,55.3,12.5,25.3,52.2,2.6,28.8,26.6,23.1,6.1,10,3.2,2.2,39.4,22.7,29.2,4.8,3.9,0.75,0.98,0.9,0.94,1.59,1000,93400,9.1,10.5,16.9,12,7.6,18.4,12.6,7.7,5.2,0,7100,1,31,63.8,0,36.2
71000114,11.1,0,68.5,95.3,9.2,1.3,5.1,3.7,4,50.9,24.3,31.5,31.8,2.6,26.8,29.9,15.1,15.9,7.8,2.8,1.8,41.9,33.5,14.7,4.3,5.5,0.85,1.06,0.94,1.09,1.02,4660,107300,9.8,7.1,9,9.8,11.9,15.6,12.8,9.1,10.8,4,7100,1,31,55.8,0,44.2
71000121,96.6,100,63.2,100,11.3,3.5,4.2,5.8,5.8,46.9,20.1,20.1,37.3,2,43.2,34.3,10.2,6.7,3.2,2.2,0.3,45.9,33.2,15.2,5.7,0,0.59,0.56,0.62,1.15,1.69,2820,119800,8,7.2,12.2,4.6,11.6,9.3,9.5,17.4,11.3,9,7100,1,31,53.3,0,46.7
71000122,20.2,0,65.6,94.9,10.5,3.4,3.9,4.3,4.8,47.5,34,33.3,36.4,2.6,25.5,35.4,15.3,7.6,9.4,4.4,2.4,47.4,26.6,16.2,7.2,2.6,0.82,1.12,0.98,1,1.26,5140,111100,9.9,9,8,11,9.6,9.5,12.3,11.7,12.4,6.6,7100,1,31,66.9,0,33.1
71000123,46.8,15.9,66.9,98.3,7.6,3.1,2.8,4.7,4.9,46.3,33.5,38.8,35.9,2.7,30.1,27.5,11.7,11.9,10.6,5.5,2.6,44.1,27.8,16.6,8.1,3.3,0.94,1.37,1.03,0.94,1.09,5020,120700,11.4,7.6,8.4,6,9.8,8.7,11,15.3,12.2,9.6,7100,1,31,68,0,32
71000211,29.1,0,63.6,94,13.2,5.1,9,5.8,6.1,43.3,23.7,30.3,40.1,2.6,21.4,39,14.7,13,6.2,4.8,1,42.8,34.6,12.2,8.7,1.7,0.76,0.82,1.13,1.07,1.14,4000,90200,8.2,14.3,12.6,7.5,16.1,9.9,11.4,7.5,9.9,2.7,7100,1,31,57.9,0,42.1
71000212,9.9,0,71.2,98,5.9,2.7,2,3.6,2.5,49.6,27.3,39.8,34.4,3.1,21.4,22.1,20.6,16.4,10.8,5.7,2.9,41.4,31.7,14.1,8.8,4,0.91,1.18,1.17,1.03,0.86,2860,96900,9.8,12.2,10.2,11.9,11.9,12.1,9.2,11.7,7.6,3.2,7100,1,31,64.9,0,35.1
71000213,30.6,0,66,95.4,10,4.6,6.3,6.8,5.4,54,16.6,26.2,41.4,2.6,19.2,38.6,20.8,12.7,6.7,1.3,0.7,48.9,29.9,17.3,3.1,0.8,0.61,0.77,0.93,1.09,1.5,3060,90000,13.2,7.2,9.7,14.2,12.1,12.4,11.8,5.4,9,5,7100,1,31,64.2,0,35.8
