locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
71000111,14.8,,70.3,93.5,1,0.4,0.7,1.2,4.5,91.2,44.5,70.3,7.9,4.2,3.5,13.8,15.9,15.3,37.8,10.9,2.9,2.9,27.8,29.9,32.4,6.7,3.3,1.8,0.4,0.6,2.3,0.2,83881,6.871868289,7.659269864,6.943450251,8.303507516,6.728704366,9.01932713,10.02147459,13.09949893,17.32283465,14.03006442,7100,1,31,0.221961804,0,0.778038196
71000112,14.8,,70.3,93.5,1,0.4,0.7,1.2,4.5,91.2,44.5,70.3,7.9,4.2,3.5,13.8,15.9,15.3,37.8,10.9,2.9,2.9,27.8,29.9,32.4,6.7,3.3,1.8,0.4,0.6,2.3,0.2,83881,6.871868289,7.659269864,6.943450251,8.303507516,6.728704366,9.01932713,10.02147459,13.09949893,17.32283465,14.03006442,7100,1,31,0.221961804,0,0.778038196
71000113,25.2,,64.9,95.7,2.5,0.2,2.2,0.7,3.7,81.8,37,60,17.7,3.7,7.3,17,20.7,21.8,20,10.4,2.8,2.8,39.6,23.2,27.6,8.8,0.7,1.7,0.6,1,2.8,0.4,62282,10.10432191,9.359165425,9.299552906,9.597615499,9.418777943,9.15052161,9.478390462,11.68405365,11.53502235,10.37257824,7100,1,31,0.221961804,0,0.778038196
71000114,15.7,1,62.9,96.4,1.4,0.2,1.9,1.2,5.5,72.7,25.4,44.1,23.4,3.2,13.1,25.3,23.7,18.3,10.5,6.8,2.3,2.3,48.3,30.2,13.4,5.8,2.3,1,0.4,0.8,2,0.5,59670,12.00923788,10.04618938,9.391839877,9.160892995,9.122401848,8.506543495,7.813702848,10.12317167,11.31639723,12.50962279,7100,1,31,0.221961804,0,0.778038196
71000121,96.6,100,10.6,100,26.6,4.5,7.8,12.5,32.8,1.6,,,92.2,1,96.9,3.1,,,,,,,,,,,,0,0,0.1,0.2,0.4,45300,15.65656566,16.41414141,11.86868687,7.323232323,10.35353535,7.070707071,9.848484848,8.080808081,7.070707071,6.313131313,7100,1,31,0.221961804,0,0.778038196
71000122,20.2,,52.1,94.9,0.8,,1.2,2.1,3,81.3,26.1,37.4,31.1,3.1,15.6,34,13.7,14.7,13.2,6.7,2,2,30,35.3,13.9,17.6,3.2,0.7,0.2,0.7,1.7,0.6,62712,10.29177719,10.34482759,9.336870027,9.336870027,8.912466844,8.063660477,9.177718833,9.549071618,12.5729443,12.4137931,7100,1,31,0.221961804,0,0.778038196
71000123,46.8,15.9,55.5,98.3,3.2,0.3,1.9,2.5,5.6,55.9,17.4,24.6,38.8,2.3,32.4,36.2,15.9,7.3,4.3,3.6,0.4,0.4,48,34.1,8.8,9.1,,0.9,0.2,0.7,1.6,0.7,64262,10.42849768,9.757356737,8.673205989,9.292720702,8.828084667,8.415074858,9.034589572,11.35776975,12.28704182,11.92565823,7100,1,31,0.221961804,0,0.778038196
71000124,26.4,37.2,49.4,97.2,5.2,0.7,3.4,2.8,5.2,70.6,27.2,30.2,39.8,2.9,15.2,35.2,15.2,18.1,12.5,2.5,1.3,1.3,57.3,27.2,7.1,8.4,,0.9,0.2,0.4,1.5,0.8,65915.5,11.18925831,8.503836317,10.29411765,9.462915601,7.73657289,8.31202046,9.079283887,10.99744246,14.13043478,10.29411765,7100,1,31,0.221961804,0,0.778038196
71000125,38,,61.1,94,2.1,0.2,1.4,0.8,1.8,65.5,18.5,39.9,17.5,3,18.9,30,17.6,12.2,12.1,5.6,3.5,3.5,37.6,30.8,21.1,5.4,5.1,1,0.4,0.9,1.7,0.4,59728,11.54022989,10.34482759,8.91954023,9.701149425,9.379310345,9.977011494,9.655172414,10.20689655,11.08045977,9.195402299,7100,1,31,0.221961804,0,0.778038196
71000126,11.1,,71.8,95.3,2.3,0.2,1,0.9,3,85,25.9,62.3,11,3.9,5.3,14.3,15.7,29.2,22.7,9.8,3,3,29.8,39.1,23.5,7.7,,0.7,0.2,0.4,1.4,0.3,54154,11.22181437,11.16937598,9.648662821,10.7498689,11.37912952,9.071840587,8.757210278,10.59255375,10.38280021,7.026743576,7100,1,31,0.221961804,0,0.778038196
