AssetId,bldgID,BuildingYear,AssetFloor
4368341,38243-118,,
4373041,53063193,,3.0
4373054,53410555,,2.0
4373055,53410555,,
4373058,52841789,,3.0
4373060,53410555,,1.0
4494263,52747354,1972.0,
4494265,52747354,1972.0,1.0
4494266,52747354,1972.0,
4494267,52747354,1972.0,1.0
4494355,52750702,1996.0,1.0
4494362,52751125,2002.0,1.0
4494379,52752618,1982.0,1.0
4494380,52752618,1982.0,
4494429,52754309,1990.0,
4494937,52777585,1970.0,1.0
4494941,52777652,1970.0,1.0
4494944,52777685,1992.0,1.0
4494967,52778229,1990.0,
4494968,52778260,1979.0,
4494984,52779146,1978.0,
4495022,52779713,1970.0,1.0
4495055,52780869,1991.0,1.0
4495062,52781032,1977.0,
4495064,52781078,1999.0,
4495092,52781664,1980.0,
4495093,52781664,1980.0,1.0
4495094,52781664,1980.0,1.0
4495095,52781664,1980.0,1.0
4495101,52781747,2007.0,
4495114,52782035,1980.0,1.0
4495115,52782035,1980.0,1.0
4495117,52782245,1970.0,
4495141,52782905,1970.0,
4495145,52782948,1980.0,
4495158,52783132,2000.0,
4495161,52783198,1960.0,1.0
4495164,52783258,1970.0,
4495165,52783258,1970.0,
4495189,52783507,1987.0,1.0
4495246,52785195,1985.0,1.0
4495247,52785195,1985.0,
4495248,52785195,1985.0,1.0
4495270,52786003,2004.0,1.0
4495286,52786489,1970.0,1.0
4495301,52787213,1991.0,1.0
4495303,52787213,1991.0,1.0
4495314,52787429,1990.0,1.0
4495315,52787460,1980.0,
4495331,52787922,1985.0,
4495333,52787930,1900.0,
4495397,52789404,1993.0,1.0
4495398,52789404,1993.0,1.0
4495401,52789430,1996.0,1.0
4495402,52789430,1996.0,1.0
4495474,52832457,1950.0,1.0
4495482,52790858,1990.0,
4495500,52791786,1990.0,
4495501,52791786,1990.0,
4495517,52792195,1982.0,1.0
4495702,52796451,1998.0,
4495703,52796451,1998.0,1.0
4495712,52796711,1973.0,
4495714,52796718,2019.0,1.0
4495773,52797676,1976.0,
4495929,52800047,1980.0,1.0
4495930,52800047,1980.0,
4495975,52800757,1991.0,1.0
4495977,52800757,1991.0,1.0
4495986,52800803,1984.0,1.0
4495994,52800905,1970.0,
4495995,52800905,1970.0,1.0
4495996,52800905,1970.0,
4496080,52802213,1989.0,
4496185,52804292,1970.0,1.0
4496186,52804292,1970.0,1.0
4496221,52805196,1999.0,
4496235,52805366,1995.0,
4496236,52805373,1995.0,
4496237,52805399,1982.0,1.0
4496238,52805399,1982.0,1.0
4496240,52805410,1992.0,
4496241,52805428,1980.0,
4496255,52805462,2010.0,
4496298,52806001,1970.0,1.0
4496299,52806001,1970.0,1.0
4496347,52806748,1970.0,1.0
4496351,52806819,1996.0,
4496352,52806819,1996.0,2.0
4496354,52806837,1984.0,1.0
4496355,52806837,1984.0,
4496368,52806890,1975.0,1.0
4496423,52808081,1970.0,
4496424,52808081,1970.0,
4496425,52808081,1970.0,1.0
4496436,52808155,1988.0,1.0
