BLDG_ID_x,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
51663476,9.32998,,25600006,220523.1303,574467.6005,1919.765856,172,1294
52747220,3.11,,25600007,220930.8918,574188.7892,239.6955,200,1477
52747230,3.07,,25600003,219072.5423,573664.2311,169.1532,233,1598
53377687,0,5521,25600001,219428.256,574249.6486,375.5775574,272,1454
52748226,2.35,,25600005,220546.1071,573720.7829,148.8697666,154,975
52748351,8.48,7300,25600004,219303.5002,573078.6323,2559.487586,195,1559
52747808,4.04,,25600005,221270.8295,572797.9209,190.9107605,329,2697
52749236,6.28,7300,25600004,219326.3433,572688.2147,1346.7618,202,1695
52749332,0,7300,25600004,219629.7799,572758.0506,3125.387392,170,1447
52750167,6.91,,25600005,221411.6965,572640.7931,152.5286735,357,2894
52749734,4.08,7300,25600004,218912.8498,572801.2266,130.2735,177,1814
52750702,3.14,,25600006,219985.7029,575327.7092,161.9443194,317,2355
52752405,6.33,,25600006,221449.4282,574949.7701,174.1899175,370,3006
52752618,6.6,,25600006,221579.2871,574777.7516,228.4050097,320,2699
52753856,11.4,,25600003,219789.7975,573959.9395,547.707,82,574
52753935,0,,25600007,220978.101,573906.5375,149.4560195,217,1576
52754125,3.69,,25600007,221266.7865,574177.2746,150.7174812,259,1876
52776994,2.9,,25600005,220718.3275,573533.1246,296.906785,214,1345
61062578,13.45,,25600002,219617.8044,574130.8807,168.9348194,122,899
52776233,13.53,,25600002,220273.0196,574294.1503,367.198668,182,1025
52776249,2.41,,25600006,220899.0155,574946.7961,173.5110934,344,2650
52776311,4.89,5000,25600005,220234.5126,573801.7824,211.17315,123,571
52776330,3.91,5202,25600001,219457.3717,574256.3811,243.2303982,286,1503
52776337,11.7,,25600003,220329.247,574256.1676,487.7965,183,1073
64806674,11.47,,25600005,220490.6568,573628.0917,843.1510403,147,1030
52776370,0,6512,25600004,219878.6575,573589.3735,3479.639052,121,458
53382821,11.16,,25600002,220031.1853,574184.7199,816.0526,164,1171
52777585,5.39,,25600006,220197.7167,575424.2789,137.7895007,330,2587
53383055,10.2,5300,25600003,219727.2315,573795.9686,414.0285235,76,455
52777685,3.32,5740,25600001,219517.6864,574144.364,349.941394,175,1189
64806675,6.59,,25600007,221324.3613,574206.0081,264.904375,326,2372
52777761,2.92,5305,25600006,221355.3257,574579.4061,307.66725,282,2332
52777252,11.2125,,25600001,219374.7849,574094.1349,207.2035114,176,1182
52777261,11.65,,25600003,219797.4584,573921.049,421.6392,120,733
52777273,15.03,,25600001,219347.5006,574141.6095,170.07265,262,1456
52778743,4.1,,25600003,219324.6192,573718.9128,167.59295,139,1019
52778693,8.91,6512,25600002,219951.5706,574136.7774,1041.42495,130,767
52778822,10.89,,25600003,219873.05,573770.94,235.14,65,379
64806668,6.58,,25600007,221296.0026,574197.3973,263.1815161,332,2403
52778205,2.53,5300,25600003,219738.6287,573826.0747,209.342016,77,428
52778260,2.52,,25600007,221053.8568,573854.3077,142.0228036,236,1660
52778229,3.6725,,25600007,221189.3905,574081.8527,244.2458117,238,1773
52779151,4.74,,25600007,221086.347,573807.1713,109.9286695,242,1717
52779189,11.13,,25600003,220117.4467,574131.5358,694.0175,210,1319
52780600,6.26,6520,25600001,219740.0404,574332.6237,173.961256,197,1456
52780642,10.86,,25600003,219862.6362,573976.1987,253.84455,73,501
53383719,5.21,,25600007,220894.9344,574120.6948,147.5385392,184,1349
53383753,3.68,,25600005,221414.9864,572949.4567,192.8149636,326,2653
52781529,5.84,7300,25600004,218559.4303,572962.2483,750.1175,306,2540
52781664,3.36,,25600006,221654.2324,574955.8564,182.2647135,390,3270
53383787,6.7,,25600005,221389.9415,573020.205,172.702972,335,2711
52781739,5.33,5600,25600004,218518.995,572923.3378,517.7975,288,2434
52781741,0,7300,25600004,219540.4442,573084.011,916.1803922,159,1123
64806569,11.43,,25600003,220132.1237,574052.5332,613.356084,127,658
52781039,3.25,,25600007,221247.0428,573986.087,161.0424213,261,1942
52781078,5.5,,25600006,220077.5495,575297.6189,208.9504275,306,2360
52781153,3.3,,25600006,221026.3534,574678.9251,210.617603,277,2274
52782173,9.84,,25600006,221240.8026,575140.5065,171.4099318,380,2822
52782556,2.85,5337,25600005,220555.99,573108.3694,60.90869999,223,1647
53383959,2.92,,25600005,220941.4366,573212.3257,52.34997809,269,1926
