BLDG_ID_x,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
52800906,10.4,,10600001,186725.782,580420.8398,23.77977,2042,19982
52930393,12.13,,90000121,180200.7103,574974.8214,304.7837822,749,3538
52883006,20.54,,90000522,180065.081,572689.5189,355.2095675,324,1650
52933684,81.4,7600,90000611,179351.4224,572707.8731,2071.6403,410,1606
52840155,73.11,,90000623,180885.0966,573033.5907,799.2489,292,1518
52933413,66.17,,90000631,181107.8352,573174.4413,579.7553,334,1686
53392534,65.46,6512,90000623,180920.5709,573010.5451,523.1811,271,1079
52981868,64.63,,90000623,180899.5465,573068.7764,782.8616,336,1564
53391127,64.1,,90000121,179968.5129,574952.9285,705.72805,752,3796
52827935,63.05,,90000414,178090.55,571753.6154,524.2059453,637,3770
53393355,62.97,7600,90000414,178126.6051,571751.5351,575.8853,647,3867
52947851,60.38,,90000413,178782.344,572208.6764,506.077,492,2699
52940283,59.78,,90000413,178748.5204,572211.0529,463.50955,455,2436
52999747,59.16,2302,90000623,180784.9132,572790.9114,1000.61855,192,500
52881018,58.88,2303,90000623,180820.6216,572824.3898,1034.80405,273,1082
52948619,58.42,,90000121,179923.3949,574929.771,736.17185,720,3708
52818950,56.41,,90000414,178691.1791,572303.0179,520.5467949,463,2470
53035306,56.2,,90000413,178189.8759,571668.8338,496.48315,668,3494
53092257,56.12,,90000413,178182.1504,571711.5605,516.13205,587,3208
52851318,54.83,,90000414,178696.2527,572257.8524,551.480088,535,2944
53155917,54.29,,90000513,180477.2663,573423.9519,671.12905,280,1375
52904413,53.93,,90000412,178987.6922,571642.1943,446.0106546,568,2703
53444626,53.52,5253,90000434,179339.4542,573065.8198,704.03035,414,1835
52784326,52.77,5253,90000434,179310.0896,573034.1136,678.9305,621,3219
52800991,52.73,,90000432,178802.5455,573499.2596,536.35185,594,2935
52825529,52.47,,90000612,179506.1201,571466.4696,610.6899,524,2286
52929056,52.36,,90000611,179413.1236,572712.0466,341.88135,417,1629
52826429,52.12,,90000412,179140.2174,571595.4677,629.47385,554,2552
52786159,51.76,,90000412,178915.8513,571668.657,660.2743,576,2775
52948417,51.36,,90000412,178782.494,571698.2457,680.1653,537,2800
53409410,50.93,,90000632,181843.0056,573507.292,477.4127,397,2414
53052337,50.28,1000,90000633,181536.8161,573992.2961,824.00945,438,2627
52950522,49.34,5253,90000434,179150.2646,573310.9677,568.52065,523,2322
52822189,48.85,,90000415,177460.0324,572177.8338,1039.8213,689,3705
52782133,48.8,,90000432,178750.399,573534.7203,537.5151,550,2637
52828906,48.66,,90000612,179362.4778,571429.8648,763.12775,596,3608
52835239,47.82,7600,90000412,179072.6087,571616.7093,587.90685,558,2615
53141374,47.34,,90000611,179621.1597,572691.1925,492.7515,312,1252
52827072,47.24,,90000611,179658.9743,572690.7161,632.169,402,1558
53015957,46.8,,90000432,178794.2155,573548.9322,533.5089,512,2575
52981005,46.62,7600,90000512,180125.6852,573753.6198,980.15455,423,2102
53387294,46.13,6512,90000631,181367.6204,572819.5309,833.22525,342,1815
52955609,45.43,,90000414,177978.6206,571970.7433,797.0262625,653,3414
53161621,44.43,,90000121,180465.8336,575208.6403,742.8649375,672,3246
53412725,44.16,,90000422,178182.0677,573034.881,588.38245,663,3511
52810376,43.44,6535,90000634,181008.194,574034.6407,10483.08248,415,2125
52808151,43.13,,90000513,180542.31,573691.7365,445.87145,354,1745
52821455,43.04,,90000631,181186.2436,573359.9562,765.1177,325,1640
53166172,41.99,,90000422,178168.7723,573104.0543,582.5554,636,3455
53410203,41.55,1000,90000631,181075.5433,573174.9217,496.72965,288,1479
53183742,40.524985,6512,90000423,179241.1652,572763.4891,1981.3112,443,2041
52978702,40.14,,90000414,177962.1466,572026.9222,939.6311,636,3358
53386159,38.21,,90000211,179772.0892,574548.6203,511.9845,660,3411
52825475,37.83,6512,90000223,177644.7875,573790.9572,413.288,726,3746
52928878,37.58,6512,90000433,178694.1986,573808.7915,349.0007368,665,3449
53064228,37.36,,90000415,177830.0966,571548.7228,759.773893,751,4068
52994847,37.32,,90000415,177776.9626,571925.3514,582.28995,689,3913
52828349,37.3,,90000415,177777.0477,571526.1877,744.7088362,721,4375
52889665,37.17,,90000211,179866.2284,574654.4829,509.2292,626,3414
53401925,37.1,,90000422,178039.624,572684.1074,740.2377,668,3214
51662303,37.019987,5900,90000623,181065.1818,572982.6221,4696.1214,299,1096
53411128,36.47,,90000611,179747.6028,572667.7519,2081.0151,428,1665
52948103,36.44,,90000211,179787.6897,574600.3629,509.1809,657,3401
52842773,36.36,6520,90000611,179437.8287,572606.1701,515.48,368,1479
53143182,36.3,,90000611,179419.9696,572640.9605,605.85495,390,1540
52805914,36.25,,90000211,179800.1668,574653.5529,511.4502,685,3562
52922237,36.25,,90000414,178850.6367,572427.7993,924.84345,426,2197
53041692,36.15,,90000414,178003.6418,571917.1959,840.6555071,669,3474
52928743,35.63,,90000214,178809.7999,575042.7433,809.1724,803,4162
52784587,35.55,,90000611,179383.3649,572649.2658,568.33595,402,1578
52832345,35.49,,90000422,177989.4451,572832.9748,455.8665546,666,3336
52839029,35.35,7600,90000214,178776.8124,575080.3144,508.79295,809,4221
52800315,35.33,,90000211,179755.3935,574496.9829,510.8693,653,3357
52811852,35.24,,90000214,178538.5908,575087.7938,236.73845,891,4516
52841996,35.23,,90000214,178489.5484,575113.0696,261.53025,891,4989
52789959,35.22,,90000422,177957.7789,572800.4441,457.8838737,666,3397
53107396,35.18,,90000211,179800.2468,574504.271,509.62765,606,3242
52837014,35.08,,90000415,177743.8427,571884.8083,606.60415,683,3865
52830624,35.01,,90000214,178525.3997,575041.2543,451.34695,883,4516
52799852,34.81,,90000211,179850.4627,574600.9829,509.15835,616,3351
53155631,34.58,,90000415,177719.6936,571948.8103,529.1866,695,3725
53159159,34.54,,90000433,178727.3732,573773.9006,374.7897,645,3389
53156551,34.53,,90000211,179826.6142,574552.771,509.34075,611,3298
53403206,34.53,,90000312,177536.1644,575008.5691,374.6489,985,5627
52965371,34.49,,90000312,177530.7596,575075.1901,355.7178,949,5243
52919990,34.44,6535,90000623,180029.9796,572119.6218,1374.3364,382,1754
52826400,34.4,,90000313,177406.1426,575035.0365,433.70055,966,5660
52956093,34.3,,90000431,178627.8304,573222.3643,367.4232,636,2892
53015023,34.27,,90000513,180595.2468,573554.6064,559.78865,331,1557
53000146,34.18,,90000413,178476.9909,571545.3691,306.70725,608,3207
53119131,34.18,,90000211,179773.8504,574457.5529,511.06605,602,3189
52808626,34.17,,90000513,180540.9377,573635.8906,517.62275,302,1583
52881654,34.17,,90000611,179954.1901,572624.5777,439.65545,370,1155
52933122,34.17,,90000422,178042.2454,572816.6446,387.8669,630,3244
53162436,34.02,,90000214,178590.1203,575076.1502,258.75645,867,4455
53183845,33.975,7600,90000214,178661.8147,575099.4657,702.6061,824,4337
52831491,33.84,,90000414,178205.3215,572070.6888,682.28185,586,3108
52936115,33.81,,90000422,178396.1951,572698.157,679.15725,528,2940
52954785,33.76,,90000422,178017.251,572864.9384,464.1524826,675,3379
52837504,33.74,,90000312,177509.5101,575042.5489,345.0417,994,5648
52955610,33.73,5253,90000434,179148.8646,573255.7247,948.6612,476,2204
52809897,33.64,,90000513,180602.0735,573609.1764,558.4274,344,1598
52791270,33.57,,90000413,178443.3169,571543.397,371.3496,611,3234
53405853,33.56,,90000415,177805.0223,572216.6173,491.95985,637,3498
53024356,33.53,,90000513,180603.7099,573718.1457,558.71955,364,1751
52949122,33.49,,90000414,178055.5937,571835.5266,797.3001543,642,3436
52792680,33.45,,90000513,180602.7487,573663.3944,560.57725,362,1766
52995520,33.44,,90000414,178158.6926,572030.6888,682.4697,666,3359
52952355,33.39,1000,90000631,181394.7336,572777.4196,738.2241,358,1863
52843683,33.28,,90000422,178394.0376,572660.0462,737.4889,522,2894
53410394,33.21,6520,90000214,178742.4138,575092.5604,248.4301,817,4260
53432640,33.19,,90000412,178825.4782,571774.9849,404.14115,617,2956
53127842,33.1,,90000312,177483.361,575104.5001,358.5416,980,5735
53056965,33.07,,90000121,180446.0425,574962.0675,474.29245,752,3560
52983457,33.01,5253,90000215,178898.5282,574799.7099,1361.556,758,3899
53388120,33,,90000513,180658.348,573685.6178,1681.64355,362,1804
53394079,32.99,,90000312,177447.5444,575085.8628,347.65765,975,5697
52954491,32.98,,90000313,177381.0366,574998.3538,497.44445,972,5671
53387376,32.97,,90000415,177589.1572,572187.5858,529.569,655,3580
53425430,32.97,,90000313,177371.3485,575067.4594,467.4691,975,5712
52788514,32.87,,90000415,177765.3643,572212.4973,494.55905,631,3464
52933695,32.82,7600,90000221,178209.3143,573969.1293,350.6818,728,3505
52932157,32.74,,90000415,177844.2007,572215.1246,469.86255,711,4157
52803335,32.72,,90000423,178726.3413,572606.281,494.83765,587,2488
52956318,32.71,,90000422,178075.1244,573208.3389,388.8563,571,3297
52936507,32.7,1000,90000623,180896.4294,572745.0713,7952.128938,282,1516
52837828,32.68,,90000612,179250.1041,571484.9605,450.6179,539,2357
52836372,32.65,,90000612,179181.1381,571525.2486,451.62445,551,2437
53164052,32.64,,90000513,180409.2584,573450.4657,1055.8096,318,1517
52803207,32.63,,90000216,178989.0548,574545.6788,357.407109,716,3627
52946855,32.57,,90000522,179730.8412,572776.2736,441.2339,362,1795
52830560,32.54,,90000513,180365.0897,573465.8111,484.5574,330,1564
52800021,32.49,,90000523,179354.6356,572885.4073,406.7005,451,1861
52841207,32.49,,90000623,181169.6305,572794.6346,520.7021,370,2023
52940341,32.45,,90000422,178288.5133,572669.827,491.2365,606,3124
52825461,32.41,,90000431,179285.373,572890.1362,515.40415,483,1928
52827605,32.35,6520,90000523,179375.0163,572927.0974,407.86015,444,1815
52808582,32.31,,90000225,177801.1961,574193.8499,369.7019,848,4315
53427653,32.3,,90000214,178389.6105,575249.702,506.0325,901,4951
53044687,32.29,,90000216,178802.5373,574270.5791,384.2023,710,3672
53448847,32.26,7600,90000214,178719.6393,575080.419,240.0781,818,4280
52932166,32.21,,90000423,178741.2325,572571.5691,495.6975,581,2478
52837970,32.18,,90000214,178467.4621,575130.9017,379.0529,843,4524
52753883,32.17,,90000225,178029.2475,574228.7173,365.52165,766,3883
52812707,32.17,,90000513,180319.2,573461.3777,1013.4836,334,1606
53048796,32.15,,90000513,180540.4011,573580.0848,465.9431,337,1577
52838870,32.13,,90000225,177779.8505,574163.0901,319.68265,862,4144
52791286,32.12,,90000225,177872.1664,574191.8877,330.5922,839,4290
52824321,32.09,,90000214,178500.2794,575000.9963,430.60385,901,4574
52928742,32.08,,90000422,177975.9583,572948.8839,454.66485,655,3623
53038737,32.05,,90000225,177969.053,574204.471,340.6033,772,3905
52823336,32.04,,90000422,178073.1491,572861.9265,387.7404,604,3200
52807254,31.99,,90000422,178215.4741,572690.8762,492.91945,603,3202
52834629,31.99,,90000612,179218.7374,571503.626,452.54295,545,2393
53029713,31.98,,90000511,178701.7606,574168.7782,412.93645,682,3469
52824289,31.97,,90000415,177563.0827,572186.426,538.02365,663,3609
52798861,31.96,,90000225,177775.905,574127.3399,347.51145,810,4096
52810993,31.93,6520,90000623,180874.9929,572924.3674,1456.9429,238,907
53393804,31.84,,90000225,177838.1188,574203.3561,333.0786,837,4286
52791704,31.8,,90000422,178300.7397,572705.802,542.60685,604,3111
52949171,31.8,,90000214,178558.523,575108.4308,409.03275,835,4442
53038571,31.8,,90000225,177915.56,574156.1006,348.17425,808,4173
52823054,31.79,,90000214,178438.194,575137.0432,329.65485,875,4938
52824596,31.79,,90000214,178826.2155,575008.5848,467.80895,796,4121
52841259,31.79,,90000415,177636.4903,572187.1815,723.48685,645,3534
52934740,31.77,,90000414,178109.7446,572120.1804,642.21685,593,3121
52841811,31.75,,90000415,177528.6813,572187.3782,363.42435,671,3642
52843938,31.72,,90000225,178096.0456,574483.4284,440.73825,760,3865
52941847,31.71,,90000414,178001.6304,572115.5834,563.9105,613,3226
53056850,31.7,,90000222,177982.309,573677.0049,364.57005,653,3488
53388285,31.69,,90000225,177948.5758,574178.3643,335.21905,732,3805
52842263,31.68,,90000415,177500.8857,572186.0591,338.87345,672,3672
53059822,31.66,,90000512,179803.1087,573571.3246,480.7696,462,2147
53393873,31.64,,90000611,179462.9443,572697.9371,967.86975,384,1540
52884388,31.63,,90000611,179603.5086,572594.8524,542.1998,362,1453
52981643,31.53,,90000222,177997.2142,574116.7772,304.4009,814,4121
53388201,31.46,,90000413,178679.2822,572035.616,345.55255,526,2838
52953636,31.45,,90000423,178938.1446,572846.4772,298.97375,518,2308
52931388,31.41,,90000225,178111.3689,574441.0203,440.2816,749,3820
53429885,31.38,,90000216,178739.3415,574270.7691,384.15485,720,3700
53393786,31.34,,90000422,178248.6405,572686.3553,474.18315,624,3144
52799904,31.33,,90000412,178915.1673,572080.738,409.50065,489,2308
53392200,31.32,,90000216,178769.6887,574254.5791,386.15235,713,3682
52942743,31.31,,90000412,178892.4971,571958.4441,388.3309452,520,2426
52951708,31.3,1000,90000216,179031.4883,574415.7826,927.95525,666,3488
52831372,31.25,,90000412,178909.9436,572018.2154,383.1656,507,2365
52931216,31.24,,90000611,179527.5588,572575.7949,474.8157,355,1412
52982535,31.23,,90000611,179553.3655,572598.9829,594.72415,371,1364
52800316,31.13,,90000214,178608.9727,575100.3254,432.8341,830,4393
52935634,31.11,,90000414,178171.9494,572126.1804,641.98225,580,3058
52841047,31.1,,90000423,178834.1076,572889.7567,309.41665,533,2421
52788017,31.05,,90000413,178726.2499,572009.7451,366.51015,526,2840
