BLDG_ID,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
51662303,37.01998657,5900,90000623,181065.1818,572982.6221,4696.1214,,
51662393,19.16,,90000634,181179.0439,574275.3252,4679.81185,,
51662402,5.13,,13030001,194236.8117,578366.7924,2819.92395,,
51662415,3.68,,90000112,179344.4616,575819.8077,7727.574955,,
51662438,10.6367,1000,90000623,179815.2672,572099.0243,3538.193,,
51662443,11.65,,90000511,179315.4861,574007.9876,6397.51515,,
51662453,3.33,,90000112,179366.0353,575870.6005,7455.78135,,
51662462,4.6567,6520,90000623,179916.6306,571947.2041,3401.9434,,
51662515,12.63,5700,90000634,181089.1868,574301.2048,4642.48675,,
51662519,10.07,6520,90000623,179767.3154,572042.2321,3261.49315,,
51662546,6.02,,90000431,179021.1278,573030.8439,3064.9336,,
51662551,7.15,5740,6660001,184787.2727,574426.2525,3625.929136,,
51662566,12.7999939,1000,90000623,180822.7984,572465.0178,5291.01245,,
51662591,22.82,5710,90000634,181195.0921,574184.934,3427.79985,,
51662614,30.8799939,5760,90000623,180450.0495,572540.1205,12902.0645,,
51662706,3.68,,90000112,179472.1245,575850.397,4252.0223,,
51662714,6.43,,90000213,179265.0916,575106.5731,1243.196,,
51662719,5.48,,90000411,176051.9414,574158.0277,721.28565,,
51662764,8.63,,90000623,180175.1444,572290.4581,1310.695,,
51662792,19.85,5700,90000623,180679.421,572821.0241,1089.1727,,
51662870,6.24,,20210001,171231.8036,581901.7718,783.4919,,
51662885,9.775,6520,90000623,179887.9201,572043.2317,1760.8433,,
51662889,11.8,,90000122,180894.912,575248.1293,804.12375,,
51662904,12.02,5370,90000212,179812.7391,574880.8036,2092.8925,,
51662907,6.945,5501,90000612,179727.6338,572088.9604,3222.558467,,
51662912,4.13,,90000513,180326.5287,573587.7436,907.36725,,
51662921,3.34,,90000434,179164.3774,573168.8183,2042.734518,,
51662938,5.8,5600,90000623,181041.9629,573054.6678,1830.347091,,
51662947,3.365,,90000434,179240.0104,573085.4387,1490.3898,,
51662975,4.37,,90000431,178827.6176,573261.4371,2452.9923,,
51662978,3.94,,90000513,180326.25,573561.3703,927.4683999,,
51663086,3.52,,90000513,180381.3541,573539.0553,780.8191,,
51663157,3.2667,,90000112,179301.3015,575770.8753,2993.965583,,
51663185,5.76,5740,90000634,180903.0443,574406.2082,4422.54635,,
51663188,5.345,6512,90000641,181365.7766,575897.5374,1495.66415,,
51663205,5.33,5740,90000634,181134.7405,574367.5249,2092.0361,,
51663222,4.35,5700,90000634,181074.0405,574216.4078,2963.92665,,
51663232,23.23,,90000645,181012.7545,576321.999,1883.405,,
51663251,14.9,,90000513,180309.4739,573693.7485,1477.8559,,
51663279,4.775,,90000632,181085.6094,573787.3609,1220.2219,,
51663309,29.54,5700,90000634,180931.9495,574170.5054,3415.03065,,
51663314,3.4333,,90000513,180326.205,573540.0054,938.463,,
51663316,8.8,5338,7090001,169220.7942,581517.6578,935.046,,
51663334,9.125,,90000621,182930.8171,572960.2875,1766.906576,,
51663340,4.57,,90000623,180192.0426,572190.553,2071.878961,,
51663348,8.795,,12860001,184460.1321,566936.2336,1209.537865,,
51663402,12.42,,90000631,181258.7186,573027.1887,1539.06565,,
51663432,8.6,,13030001,194433.7334,578944.1547,1577.146736,,
51663474,4.29,5305,90000434,179250.931,573181.0295,2444.0063,,
51663490,4.335,,13030001,193543.3429,578848.843,2612.000461,,
