SAID,dmg_prc
90000111,0.04
90000112,0.06
90000113,0.01
90000121,0.05
90000122,0.02
90000123,0.03
90000131,0.05
90000132,0.02
90000133,0.01
90000211,0.1
90000212,0.03
90000213,0.07
90000214,0.05
90000215,0.03
90000216,0.03
90000221,0.02
90000222,0.01
90000223,0.04
90000224,0.03
90000225,0.02
90000226,0.04
90000234,0.1
90000311,0.08
90000312,0.09
90000313,0.06
90000411,0.22
90000412,0.01
90000413,0.04
90000414,0.03
90000415,0.07
90000421,0.3
90000422,0.05
90000423,0.05
90000431,0.01
90000432,0.03
90000433,0.01
90000434,0.06
90000511,0.01
90000512,0.06
90000513,0.03
90000521,0.04
90000522,0.05
90000523,0.06
90000611,0.06
90000612,0.12
90000613,0.34
90000614,0.14
90000621,0.25
90000623,0.08
90000631,0.06
90000632,0.12
90000633,0.04
90000634,0.01
90000641,0.15
90000642,0.12
90000643,0.23
90000644,0.11
90000645,0.09
