Parameter,Value,Description
JobsPerM_ind,0.002325367,"עובדים למ""ר - תעשייה"
JobsPerM_comm,0.013952158,"עובדים למ""ר - מסחר"
JobsPerM_pub,0.010595212,"עובדים למ""ר - ציבורי"
JobsPerM_home,1.89E-05,"עובדים למ""ר - מגורים"
WTP,0.33,החלק מההכנסות של משק בית המוקצה להוצאות על מגורים
activities,4,
"We,actB",0.5,המשקל של אופי הסביבה (יחס מבנים ריקים) בחישוב רמת סיכון - שקופית 4
"Wa,car",0.33,המשקל של בעלות על רכב בהחלטה על מס' פעילויות ליום - שקופית 5
"Wa,dis",0.33,המשקל של נכות בהחלטה על מס' פעילוית ליום - שקופית 5
"Wa,age2",0.33,המשקל של גיל בהחלטה על מס' פעילויות ליום - שקופית 5
"Wd,actSA",0.5,המשקל של מרחק בהחלטה על אזור פעילות - שקופית 6
"Wd,car",0.33,המשקל של בעלות על רכב בקבלות החלטות על אזור פעילות - שקופית 6
"Wd,dis",0.33,המשקל של נכות בקבלות החלטות על אזור פעילות - שקופית 6
"Wd,resBldg",0.33,המשקל של מרחק ממקום עבודה בעת קבלת החלטה בדבר אזור מגורים חדש - שקופית 10
"WI,resBldg",0.33,המשקל של דמיון ברמת הכנסה של אוכלוסיה בעת קבלת החלטה בדבר אזור מגורים חדש - שקופית 10
appPerDay,7,מס' הדירות שסוכן רואה ביום
resSearchLen,30,מס' איטרציות מקסימלי בו סוכן מחפש אחר בית חדש ושלאחריו הוא עוזב את אזור המחקר
"Wfs,resAsst",0.33,המשקל של שטח רצפה בעת קבלת החלטה בדבר נכס מגורים חדש - שקופית 11
"WI,resAsst",0.33,המשקל של הכנסה ממוצעת בסביבת הנכס בעת קבלת החלטה בדבר נכס מגורים חדש - שקופית 11
"Wd,job",0.5,המשקל של מרחק ממקום מגורים בעת קבלת החלטה על מקום עבודה חדש - שקופית 12
jobsPerDay,7,מס' המשרות שסוכן מחפש עבודה יראה בכל יום
reconBldg,0.1,"מס' איטרציות לבנייה מחדש של מ""ר בניין"
reconAsst,0.05,"מס' איטרציות לבנייה מחדש של מ""ר נכס"
minFS,30,שטח רצפה מינימאלי לנכס חדש למגורים
Wr,0.33,המשקל של שינוי בביקוש על שינוי במחירי דיור ממוצעים - שקופית 19
Wa,0.33,המשקל של שינוי בהיצע על שינוי במחירי דיור ממוצעים - שקופית 19
Wjb,0.5,המשקל של היצע העובדים בעת חישוב רמת הכנסה ממוצעת - שקופית 21
imigAppPerDay,100,מס' הנכסים שמשק בית המהגר פנימה יראה לפני שיחליט לו לעבור
