locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
90000111,30.7,,49,94.5,8.6,0.4,6.1,10,17,20.8,1.5,25.7,36.9,2.3,34.7,31.4,16.8,7.5,5.2,2.3,2,2,56,19.1,13.7,7.1,4,500.0,400.0,300.0,1000.0,500.0,38933.5,12.42105263,15.89473684,15.68421053,12.31578947,11.57894737,10.10526316,8.105263158,5.473684211,6.210526316,2.210526316,9000,1,31,0.402327723,0.078218138,0.519454138
90000112,39.8,8.6,38.9,94,2.6,0.3,1.3,4.2,10.5,25.5,0.8,30.3,38.5,2.8,25.6,29.7,20.8,6.9,7.7,4.4,4.8,4.8,39.8,21.2,17.4,9.3,12.3,600.0,200.0,400.0,1200.0,500.0,39308.5,13.8030888,15.63706564,13.996139,12.83783784,11.96911197,10.23166023,8.590733591,6.94980695,3.861003861,2.123552124,9000,1,31,0.402327723,0.078218138,0.519454138
90000113,50.8,6.4,44.5,92.4,3.8,0.4,3,5.7,11.1,10.7,1.5,26,36.5,2.4,37.2,27.7,15.5,8.3,5.6,4.3,1.4,1.4,40.4,26.7,9.6,17.7,5.5,400.0,,200.0,700.0,300.0,34141,14.80406386,17.41654572,16.83599419,9.288824383,14.36865022,10.74020319,7.692307692,5.224963716,3.047895501,0.580551524,9000,1,31,0.402327723,0.078218138,0.519454138
90000121,39.1,17.4,41.5,95.7,4.7,1,5.6,5.4,11.8,17.8,0.6,21.6,51.7,2.4,35.1,35.2,9.2,9.8,4.4,2,4.3,4.3,30.8,24.1,18.4,17,9.7,900.0,200.0,1000.0,1200.0,800.0,38690,15.57377049,16.39344262,12.36959762,12.29508197,12.29508197,10.43219076,8.718330849,6.110283159,4.023845007,1.788375559,9000,1,31,0.402327723,0.078218138,0.519454138
90000122,57.6,,56.3,94.9,1.8,,0.4,2.3,4.9,20.6,0.6,5.3,14.6,1.7,51.8,35.8,9,2.3,0.6,0.5,,,71.1,11.6,17.3,,,200.0,,400.0,600.0,200.0,35713,15.45454545,18.18181818,14.54545455,9.818181818,11.45454545,10.54545455,7.090909091,7.090909091,4.545454545,1.272727273,9000,1,31,0.402327723,0.078218138,0.519454138
90000123,56.5,,66.2,97,2.9,0.4,2.2,3.3,7.3,21.9,0.6,12.8,15.2,2,30.5,51.7,9.4,6.6,0.5,1,0.4,0.4,52.7,40.8,,6.5,,200.0,,400.0,400.0,200.0,38366.5,15.09433962,17.16981132,12.83018868,13.58490566,10.37735849,10.37735849,8.867924528,5.660377358,3.773584906,2.264150943,9000,1,31,0.402327723,0.078218138,0.519454138
90000131,58,61,71.1,96.9,2,,1,1.7,3,33.9,4.7,9.9,8.4,2.2,25,44.5,23.5,3.3,3.5,,,,47.1,45.4,7.5,,,300.0,100.0,600.0,800.0,500.0,43110,13.22207959,12.83697047,12.58023107,13.99229782,11.55327343,10.39794608,10.14120668,6.675224647,6.033376123,2.567394095,9000,1,31,0.402327723,0.078218138,0.519454138
90000132,49.6,22.7,44.2,92.9,4.2,1.3,2.6,4.1,11.6,17.8,0.8,19.3,38.8,2.3,41.5,32.3,6,9,3.3,4.2,3.7,3.7,37.4,26.1,7.6,17.4,11.4,500.0,200.0,700.0,1200.0,800.0,40357,14.42215855,14.99522445,13.75358166,11.747851,12.51193887,10.50620821,10.98376313,5.730659026,3.724928367,1.623686724,9000,1,31,0.402327723,0.078218138,0.519454138
90000133,38.3,,64.1,96,,,1.9,6.9,10.9,32.1,9.3,23.3,27.7,2.4,33.5,37.6,8.5,4.5,10.5,,5.4,5.4,43.1,11.6,22.2,23.1,,200.0,,400.0,800.0,200.0,40782,11.11111111,18.93004115,11.52263374,13.58024691,13.58024691,9.259259259,10.49382716,6.790123457,2.057613169,2.674897119,9000,1,31,0.402327723,0.078218138,0.519454138
90000211,23,,54.9,94.2,4.6,1,3.7,3.6,8.3,55.9,13,31.5,36.3,2.8,17.4,34.7,17.6,16.6,8.4,4.7,0.6,0.6,50.2,25.5,16.1,8.3,,600.0,200.0,700.0,1700.0,600.0,55684,10.89655172,12,10.62068966,10.02298851,8.91954023,9.931034483,9.747126437,8.735632184,9.103448276,10.02298851,9000,1,31,0.402327723,0.078218138,0.519454138
90000212,27.2,,69.4,92.4,2.1,,1.2,0.8,4.6,45.4,2.3,40,19.6,2.8,19,30.1,22.7,14,9.1,3.3,1.8,1.8,52.9,25.7,15,5.6,0.9,1000.0,400.0,800.0,2100.0,500.0,49512.5,10.87344029,12.34402852,11.40819964,11.98752228,10.60606061,12.3885918,11.36363636,9.26916221,6.32798574,3.431372549,9000,1,31,0.402327723,0.078218138,0.519454138
90000213,38.3,40.8,65.3,97.3,4,0.3,2.5,3.9,7.3,59.6,11.9,43.3,37.6,3.1,20.2,19.7,18.2,25.2,6.9,8,1.8,1.8,30.8,42.8,16.4,8.5,1.5,800.0,200.0,200.0,1000.0,300.0,55796,9.045643154,9.79253112,10.70539419,12.28215768,11.12033195,11.53526971,9.626556017,9.79253112,9.294605809,6.804979253,9000,1,31,0.402327723,0.078218138,0.519454138
90000214,11.4,,72.5,99.3,0.8,,1.7,0.2,1.4,68,12.5,55.8,18.9,3.4,8.5,23.7,21.3,27.6,13,3.2,2.7,2.7,34.4,44.9,15.9,3.1,1.8,1400.0,400.0,600.0,2300.0,400.0,60252,9.054805401,8.578236696,9.928514694,10.00794281,11.39793487,12.03335981,11.95393169,11.51707705,9.849086577,5.679110405,9000,1,31,0.402327723,0.078218138,0.519454138
90000215,,,60.5,93.6,3.3,,3.3,1.5,6.5,64.7,16.7,36.3,26.7,3.9,,15.1,28.8,22.7,21.2,9.3,2.8,2.8,67.5,9.7,9.3,13.5,,400.0,200.0,400.0,700.0,200.0,43788,12.7141569,13.4355275,13.4355275,12.17312894,11.36158702,9.918845807,8.746618575,7.303877367,6.311992786,4.598737601,9000,1,31,0.402327723,0.078218138,0.519454138
90000216,69,55.5,44.9,97.8,3.9,1.3,2.8,5.6,9.3,24.9,4.3,18.2,50.2,2.4,43.9,23.6,9.5,11.4,7.4,2.1,2.1,2.1,41,20.7,20.9,5.7,11.7,600.0,200.0,500.0,1400.0,1000.0,41118,13.39449541,14.25076453,14.00611621,14.43425076,10.39755352,10.76452599,10.76452599,7.278287462,2.996941896,1.712538226,9000,1,31,0.402327723,0.078218138,0.519454138
90000221,28.8,26.8,56.8,97.9,5.3,0.2,4.5,5.8,13.3,30,2.8,26.3,39.7,2.7,18.6,37.3,18.7,15.1,6.3,3.3,0.6,0.6,51.2,31.1,11.1,5.7,1,400.0,200.0,400.0,1300.0,700.0,44751,12.34726688,14.46945338,13.56913183,11.12540193,12.54019293,12.86173633,10.48231511,7.009646302,3.729903537,1.864951768,9000,1,31,0.402327723,0.078218138,0.519454138
90000222,28.2,11.2,50.9,94.7,3.8,1.4,2.9,2.9,8.2,28.4,3.5,32.7,30.3,2.8,22.2,27.1,19.6,18,6.4,5.1,1.5,1.5,44,35.1,10.2,7.4,3.3,600.0,200.0,500.0,1400.0,500.0,40341,14.56371626,16.44695543,12.99435028,11.11111111,10.98556183,11.98995606,9.165097301,6.277463905,4.770872567,1.694915254,9000,1,31,0.402327723,0.078218138,0.519454138
90000223,12.9,,58.7,99.3,1.6,0.2,1.1,1.4,3.1,78.3,20.1,39.7,35,3.3,6.7,23.6,23.6,29.4,10.2,5,1.5,1.5,52,33.7,10.4,3.8,,500.0,200.0,400.0,1100.0,400.0,54185,10.74433657,11.90938511,11.32686084,9.644012945,10.03236246,10.87378641,11.71521036,8.673139159,9.061488673,6.019417476,9000,1,31,0.402327723,0.078218138,0.519454138
90000224,27.9,,60.9,97.5,2.3,,1.6,2.4,5.4,28.9,3.3,39,26,2.8,16.7,35.6,18.6,17.5,6.6,4.5,0.6,0.6,40.2,43.5,12.2,2.1,2,400.0,200.0,400.0,900.0,200.0,52489,12.38793806,12.30643847,9.535452323,10.75794621,10.10594947,11.40994295,9.616951915,9.535452323,8.47595762,5.86797066,9000,1,31,0.402327723,0.078218138,0.519454138
90000225,13.6,,63.7,97.6,2.9,0.2,2.3,2.1,3.6,48.9,5.1,51,22.2,3.6,9.7,15.7,23,26,10,11.6,4,4,40.3,31.8,13.9,10,4,800.0,300.0,600.0,1700.0,400.0,52053,11.15921116,11.3035113,11.78451178,10.96681097,10.48581049,10.87061087,12.12121212,9.139009139,8.273208273,3.896103896,9000,1,31,0.402327723,0.078218138,0.519454138
90000226,14.8,,59.9,99.2,2.6,,4,3,7.9,35.9,3,46.8,25.3,3.5,9.6,24.9,21.2,24.5,7.3,3,9.5,9.5,48.8,35,6.8,9.4,,300.0,200.0,200.0,700.0,200.0,50444,10.9540636,13.07420495,12.13191991,10.12956419,11.66077739,9.187279152,9.893992933,9.658421673,6.949352179,6.360424028,9000,1,31,0.402327723,0.078218138,0.519454138
90000234,16.1,,59.6,97.4,2.1,0.2,4.7,3.3,4.2,84.2,12.7,56.8,21.6,3.5,7.7,14.9,23.3,33.1,16.5,3.9,0.6,0.6,40.7,38.7,18.6,2,,600.0,200.0,400.0,1200.0,200.0,72111,9.831460674,8.216292135,8.005617978,9.199438202,8.707865169,7.724719101,9.480337079,11.16573034,12.42977528,15.23876404,9000,1,31,0.402327723,0.078218138,0.519454138
