statID,average_Csvalue,X,Y,settlement,civil_labour_force.LaborForceY_pcnt,jobs.industrialJobs,jobs.commercialJobs,jobs.publicJobs,jobs.homeJobs,intraSAProb,intraYeshuvProb,interYeshuvProb,inOutRatio,housingValue.avgPricePerM2009
4940002,92028.20702,204257.4,733505.8,494,69.1,37.5363,199.873333,223.296617,0,,,,,
4940003,92028.20702,204007,733089.8,494,52.5,7.166295,50.73536,105.2491,0,,,,,4482.58728
4940004,92028.20702,206808.5,735008.4,,,,,,,,,,,
4940001,,204836.4,733970.9,494,44.1,62.987863,164.371083,294.3702,0,1.52E-05,5.06E-06,0.005538462,1,3788.26722
4940004,,204623.5,732683.3,494,65.6,58.252373,31.527051,42.407882,0,,,,,
5160001,,224570.2,758723.6,516,41.5,0,0,152.209,0,1.00E-05,1.00E-05,0.007719298,0.636363636,3543.500336
5160002,,223489,758414.5,516,40,288.905,0,0,0,,,,,
5160003,,224231.7,758232.1,516,38.3,44.648,0,0,0,,,,,
260001,627233.4502,251057.8,763832.2,26,56.3,702.094,1284.539,461.49,32.622,1.00E-05,1.00E-05,0.010526316,0.1,9093.420707
280001,9920.240278,185227.2,640033.3,28,74,241.96,458.377,743.332,108.676,1.00E-05,1.00E-05,0.000893655,1,10314.21151
290001,627233.4502,256635.1,773585.3,29,63.6,174.606,156.015,113.231,10.874,,,,,7741.412386
310001,0,,,,,,,,,,,,,
310002,0,163417.1,580536,31,42,5.912513,70.782899,418.159242,12.808168,3.82E-05,7.64E-05,0.055749129,0.6875,4312.453722
310003,0,,,,,,,,,,,,,
310004,0,164148.7,580189.3,31,54.4,142.834066,172.578815,195.713763,26.145063,5.52E-05,9.19E-05,0.043624161,1,4959.830152
310005,0,,,,,,,,,,,,,
310006,0,164203.5,579594.3,31,38,19.18176,94.212903,423.507297,0,5.19E-05,6.93E-05,0.028436019,0.777777778,4999.689789
310007,0,,,,,,,,,,,,,
320001,0,,,,,,,,,,,,,
410001,27854.73736,193183.2,701569.6,41,56,18.874,56.283,164.036,6.941,1.00E-05,1.00E-05,0.005952381,0.1,7818.531123
430001,627233.4502,254162,798175.6,43,74.3,181.823,210.803,161.976,21.6,,,,,5254.326981
460001,627233.4502,247790.1,735099.8,46,53.9,204.086,62.637,306.903,23.739,1.00E-05,1.00E-05,0.00248139,0.1,6280.35275
470001,627233.4502,239745.6,732543.8,47,72,208.294,229.726,249.368,35.617,1.00E-05,1.00E-05,0.008823529,0.333333333,8445.559219
480001,627233.4502,252342.9,730227.6,48,65.2,,,,,,,,,4758.039397
530001,627233.4502,194873.3,732916.6,53,64,,,,,1.00E-05,1.00E-05,0.006379585,0.25,7936.754473
620001,627233.4502,254154.8,734884.2,62,66.1,212.172,82.695,128.081,12.02,,,,,
630001,627233.4502,253251.7,736773.5,63,49.6,54.22,50.583,58.159,0,,,,,8479.468843
640001,9920.240278,190714.7,645281,64,64.7,59.479,50.383,41.182,21.482,,,,,9136.687346
650001,627233.4502,247581.1,749233.1,65,45.2,324.465,236.572,315.451,0,,,,,5704.40594
660001,627233.4502,229172.8,723406.4,66,63.1,156.122,34.96,145.239,11.28,,,,,7410.896441
700111,0,169914.2,638172.9,,,5739.413888,3881.825438,235.825546,0,,,,,
700111,0,169914.2,638172.9,,,0,0,0,0,,,,,
700112,0,168366.2,635918.8,,,4348.993438,7437.389417,1302.6128,0,1.00E-05,1.00E-05,1.00E-05,0.1,
700113,0,167020.7,636961.8,,,586.372478,3192.565257,165.950459,0,,,,,
700121,0,166047.5,635481.5,,,0,79.313669,40.224136,0,1.00E-05,1.00E-05,1.00E-05,0.1,
700122,0,,,,,,,,,,,,,
700123,0,166493,635482.4,70,54.3,50.504548,450.707723,443.6614,0,3.42E-05,0.000232296,0.052369077,0.380952381,8625.972511
700124,0,167467.8,635438.8,,,54.930155,1358.571899,351.006735,22.070551,,,,,
700125,0,166873.1,635320,70,58.4,3.11,28.926157,146.531041,0,2.26E-05,0.000147175,0.020661157,1,7620.746706
700126,0,,,,,,,,,,,,,
700132,0,167197.7,634583.5,70,39.9,51.074965,40.152633,251.047937,6.087577,1.38E-05,0.000179881,0.035353535,0.428571429,8639.709142
700133,0,167336.8,635136.1,70,55.1,14.826218,212.105519,914.180478,0,7.11E-05,0.000180925,0.04009434,0.411764706,7935.052241
700141,0,168285.1,634649.6,70,39.6,68.866648,56.709045,192.375047,0,3.81E-05,5.72E-05,0.029565217,0.411764706,7539.660302
700142,0,,,,,,,,,,,,,
700143,0,167947.8,634482.9,70,45.1,301.465991,253.672851,193.470162,0,2.39E-05,0.000143254,0.021786492,0.8,7683.718193
