AssetID,BuildingID,BuildingYear,assetFloor
4118145,52414995,2013,7
4119414,52535003,2012,
4119884,52660863,2014,0
4120514,52769099,1998,
4120524,52769099,1998,3
4120525,52769099,1998,3
4121108,53016005,1997,2
4121110,53016005,1997,
4121112,53016005,1997,
4425001,52711225,,1
4425004,52694509,,
4425005,52460430,,
4425027,52689895,,2
4425036,52689895,,2
4425068,68338347,,2
4425071,52991145,,
4425096,52665192,,
4425098,52695851,,1
4425228,53117580,,1
4425318,52464204,,1
4425446,52799269,,
4425551,52656665,,1
4425560,52656665,,
4425576,52703468,,
4425789,53374172,,
4425810,52462273,,1
4425821,53443186,,3
4425981,52490426,,
4426005,52462273,,
4426009,52462273,,4
4426051,52694438,,
4426081,52731857,,1
4426120,53326873,,
4426121,52679344,,1
4426133,52656177,,1
4426171,51662390,,1
4426228,52496640,,3
4426423,53424382,,
4426582,52680035,,
4426595,52795419,,
4426639,52655283,,
4426656,53366028,,4
4426668,52690353,,1
4426704,52682478,,2
4426749,52655283,,3
4426752,52655283,,
4426876,53364559,,1
4426955,52660842,,
4426958,53380517,,1
4426959,52464918,,
4426964,52557738,,2
4426975,52503481,,4
4426991,52396331,,1
4427068,52762000,,
4427069,53372133,,
4427070,53372133,,
4427075,53372133,,
4427135,52762000,,1
4427137,53372133,,2
4427150,52490388,,1
4427159,52490388,,
4427162,52459469,,1
4427297,65714510,,
4427303,52489545,,1
4427335,52680685,,1
4427345,52620505,,1
4427346,52692617,,
4427359,52649774,,
4427365,52681101,,4
4427406,52466450,,1
4427496,52728443,,1
4427599,52703468,,1
4427617,52656265,,
4429709,53100328,,
4429711,52413142,,3
4429816,53327367,,1
4429820,52466015,,1
4429822,52466015,,2
4429832,52654393,,
4429834,52658203,,1
4430025,65693749,,8
4430111,52654384,,
4430131,52489465,,1
4430150,52654384,,
4430196,52682478,,
4430205,52654384,,
4430207,52654384,,
4430238,52466042,,1
4430243,52460931,,1
4430251,52794851,,1
4430252,52802910,,
4430255,52691909,,2
4430258,52669083,,
4430261,52459469,,1
4430269,52605186,,1
4430273,52495197,,
4430340,52660957,,1
4431297,52489940,,
4431399,52679117,,
4431401,52657477,,1
4431407,52647784,,
4431432,52740254,,1
4431497,52703484,,3
4431500,52408086,,1
4431538,52701939,,
4432118,53364221,,3
4432385,52792982,,
4432428,65041921,,1
4432503,52665234,,6
4432548,52703472,,2
4432564,52662187,,
4432577,52651724,,3
4432607,53331876,,1
4432655,52661923,,1
4434615,52650082,,
4434629,52701981,,1
4434633,52665929,,
4434639,52686325,,3
4434641,52684037,,1
4434657,52686325,,
4435170,53003776,,
4435195,52709739,,1
4435199,52657604,,
4435204,52709739,,1
4435221,53365689,,
4435244,52656137,,
4435252,52652650,,1
4435319,52686124,,1
4435562,52655158,,1
4435574,52684033,,1
4435589,52684033,,1
4435593,52684033,,3
4435594,52684033,,1
4435595,52684033,,2
4435615,52648189,,1
4435636,52646497,,1
4435665,52702103,,1
4435670,52686325,,1
4435671,65694828,,1
4435680,52684037,,1
4435682,52704161,,1
4435689,52665929,,2
4435692,52686325,,4
4435714,52656036,,2
4435715,52656129,,1
4435793,52651678,,3
4435799,53385891,,1
4435811,52658147,,3
4435813,52690515,,
4435815,52461460,,1
4435834,53350224,,
4435839,52427202,,2
4435848,52662776,,4
4435849,52405438,,1
4435867,52404998,,1
4435879,52703240,,2
4435880,53360387,,1
4435881,52795136,,2
4435882,52703240,,1
4435885,52591424,,1
4436044,52645527,,1
4436137,52449776,,
4436141,52449776,,1
4436249,52404530,,3
4436255,52679513,,2
4436297,53366621,,1
4436307,52645592,,1
4436335,52409013,,4
4436337,52656485,,
4436338,52652047,,1
4436343,52405453,,
4436347,65709152,,3
4436349,52648201,,
4436351,52657520,,1
4436353,52648201,,2
4436371,52658330,,3
4436372,52647540,,
4436381,52658328,,1
4436396,52647465,,1
4436417,52407503,,2
4436419,52496599,,1
4436421,52754639,,2
4436422,52451122,,2
4436425,52496599,,1
4436485,52462920,,2
4436574,52649827,,
4436658,52677607,,1
4436670,52495493,,3
4436702,52666481,,2
4437348,52650188,,1
4437431,71178648,,1
4437461,52464278,,1
4437463,53110132,,1
4520499,71178013,,1
4521376,52990349,,2
4532297,52798318,,1
4532351,52695482,,2
4532494,52791416,,1
4532647,52461860,,
4550633,51662879,2008,1
4550634,51662879,2008,2
4550635,51662879,2008,2
4550640,51662879,2008,2
