dealid,assetid,dealdate,assetarea,rescode,pricePerMeter_Jan2026
2940160230,30130565,01/01/1998 00:00,77.0,1,36016.92083509254
2940372360,30112416,01/01/1998 00:00,25.0,1,49819.061222078904
2940592440,30146043,01/01/1998 00:00,33.0,3,16066.371548987358
2940822300,30123624,01/01/1998 00:00,74.0,1,32940.81503978769
2940027120,30191478,02/01/1998 00:00,90.0,1,18579.31684254692
2940451500,30053100,02/01/1998 00:00,41.0,1,51572.84398796029
2940184740,30049521,04/01/1998 00:00,70.0,1,33388.989394070515
2940871530,30082636,04/01/1998 00:00,21.0,3,52884.57380537344
2940035730,30102811,05/01/1998 00:00,73.0,1,40440.061255629764
2940132570,30062457,05/01/1998 00:00,59.0,1,41740.98435227334
2940066450,30145367,06/01/1998 00:00,110.0,1,31800.007592522314
2940099360,30063322,06/01/1998 00:00,100.0,1,49724.944607679514
2940754980,30180878,06/01/1998 00:00,44.0,1,25668.167563470928
2940168660,30147242,08/01/1998 00:00,91.0,1,34095.7258758242
2940277320,30046905,09/01/1998 00:00,65.0,1,36102.16798499809
2940318420,30092691,14/01/1998 00:00,47.0,1,30370.96422108085
2940095130,30180546,15/01/1998 00:00,68.0,1,26112.746936302286
2940082530,30064268,16/01/1998 00:00,29.0,1,60905.349318228145
2940259260,30118884,16/01/1998 00:00,105.0,1,29997.803446663802
2940165210,30093333,18/01/1998 00:00,68.0,1,27266.136818647796
2940299640,30217454,19/01/1998 00:00,58.0,1,31155.844766695747
2940340470,30135082,19/01/1998 00:00,100.0,1,37081.946073361
2940355320,30135078,19/01/1998 00:00,100.0,1,38744.67292775028
2940103560,30100415,20/01/1998 00:00,65.0,1,33399.33187916935
2940860970,30091972,20/01/1998 00:00,75.0,1,7529.329151951472
2970394140,30217496,20/01/1998 00:00,60.0,1,25411.485887836217
2940535740,30061087,21/01/1998 00:00,37.0,1,37901.01498786383
2940830010,30096371,21/01/1998 00:00,45.0,1,35206.58538643976
2940106530,30050172,22/01/1998 00:00,58.0,1,43596.54667006384
2940312720,30065376,22/01/1998 00:00,88.0,1,52263.24117784497
2940369150,30115636,22/01/1998 00:00,60.0,1,27084.670143825435
2940702570,30092057,25/01/1998 00:00,82.0,1,20544.968265233438
2940435990,30108998,26/01/1998 00:00,78.0,1,27269.68571059347
2940715920,30050581,26/01/1998 00:00,100.0,1,65003.20834518104
2940369630,30183891,27/01/1998 00:00,60.0,1,19607.627999873625
2940558270,30184326,27/01/1998 00:00,49.0,1,21128.2195590475
2941072320,30144575,27/01/1998 00:00,100.0,1,17035.107206290206
2940498330,30182453,29/01/1998 00:00,39.0,1,28798.075175199006
2940497850,30046781,30/01/1998 00:00,55.0,1,30060.27623544262
2940514890,30135249,02/02/1998 00:00,120.0,1,35543.82473834614
2941113360,30113261,02/02/1998 00:00,67.0,1,44417.61784408911
2940859710,30216678,03/02/1998 00:00,69.0,1,27619.62329344196
2940548820,30137428,04/02/1998 00:00,70.0,1,18641.78796674186
2940647850,30179179,04/02/1998 00:00,135.0,1,26587.603798733526
2940672330,30064904,04/02/1998 00:00,60.0,1,41306.98340832009
2940821820,30175973,04/02/1998 00:00,100.0,1,25222.294414474236
2940717180,30113412,05/02/1998 00:00,121.0,1,38405.25316889265
2940647370,30216700,08/02/1998 00:00,59.0,1,27315.224005245054
2940818370,30143421,08/02/1998 00:00,62.0,1,28163.852323854608
2940865650,30175160,08/02/1998 00:00,51.0,1,24114.14806813695
2940689190,30105502,11/02/1998 00:00,125.0,1,29766.062589389447
2940707490,30214748,11/02/1998 00:00,150.0,1,27350.2299233877
2940709230,30184729,11/02/1998 00:00,43.0,1,22269.09253514085
2940711240,30148866,12/02/1998 00:00,75.0,1,29540.75177079861
2940821580,30061103,12/02/1998 00:00,70.0,1,38848.23439592008
2940844350,30118863,12/02/1998 00:00,104.0,1,41192.642982218975
2940892620,30167406,12/02/1998 00:00,100.0,1,30385.66734051425
2941132950,30067132,12/02/1998 00:00,220.0,1,46057.85546699051
2941317600,30151582,12/02/1998 00:00,105.0,1,21964.824510773382
2940828000,30176290,13/02/1998 00:00,75.0,1,20987.285509479803
2940763650,30113632,15/02/1998 00:00,82.0,1,54190.61016243027
2941197060,30180837,15/02/1998 00:00,75.0,1,20611.767478495076
2940756720,30116769,16/02/1998 00:00,87.0,1,34278.60953337604
2941108710,30176138,16/02/1998 00:00,27.0,1,56211.80402086208
2940910680,30215448,17/02/1998 00:00,65.0,1,26863.98221659978
2940864900,30218356,18/02/1998 00:00,55.0,1,25091.432070343195
2940874050,30101033,18/02/1998 00:00,56.0,1,33248.9923267728
2941010190,30111032,19/02/1998 00:00,96.0,1,29402.5402732834
2941123050,30183838,19/02/1998 00:00,45.0,1,23504.647124599647
2941239360,30177916,19/02/1998 00:00,56.0,1,23190.47363968187
2940841140,30191709,20/02/1998 00:00,64.0,1,23420.98135959437
2940873810,30106073,22/02/1998 00:00,56.0,1,34869.531448581896
2941007700,30174966,22/02/1998 00:00,85.0,1,25218.61286515086
2940997530,30104737,23/02/1998 00:00,76.0,1,27422.698315332116
2941396290,30131772,23/02/1998 00:00,75.0,1,27788.33429286988
2940942600,30095715,25/02/1998 00:00,62.0,1,26195.4110324024
2941180710,30049436,25/02/1998 00:00,21.0,3,45896.64823146677
8000000000,30095715,25/02/1998 00:00,62.0,1,26244.369700420575
2940964860,30175269,26/02/1998 00:00,110.0,1,22417.28851636104
2941384620,30106262,26/02/1998 00:00,76.0,1,23593.40260463259
2940978000,30224729,01/03/1998 00:00,100.0,1,20575.379588331565
2941175250,30047828,01/03/1998 00:00,180.0,1,43051.8396039782
3213205740,30060009,01/03/1998 00:00,676.0,3,9080.28038507777
2940934470,30166352,02/03/1998 00:00,72.0,1,29053.920764167397
2940939630,30156162,02/03/1998 00:00,100.0,1,19232.828264661977
2940984240,30092460,02/03/1998 00:00,48.0,1,25888.344322698413
2941375020,30216934,02/03/1998 00:00,50.0,1,25664.585768753484
2941233660,30132493,03/03/1998 00:00,87.0,1,40804.08593991765
2941023810,30191497,05/03/1998 00:00,113.0,1,16384.707448776797
2941195560,30167526,05/03/1998 00:00,49.0,1,47852.68362960888
2941073550,30049340,08/03/1998 00:00,79.0,1,32605.382455914292
2941235910,30165432,08/03/1998 00:00,100.0,1,35811.77600579105
2941263600,30094669,08/03/1998 00:00,71.0,1,29155.30715993893
2941352430,30183691,08/03/1998 00:00,60.0,1,16964.020601406395
2941064880,30092926,09/03/1998 00:00,75.0,1,26851.02647339172
2941342140,30118942,09/03/1998 00:00,100.0,1,34875.11229160297
2941080930,30135220,10/03/1998 00:00,100.0,1,30004.460977824936
2941306200,30156064,10/03/1998 00:00,100.0,1,26195.361873460064
2941242870,30098383,12/03/1998 00:00,75.0,1,22771.335629372512
2941476720,30096465,12/03/1998 00:00,125.0,1,15685.995000269768
2941114830,30220467,15/03/1998 00:00,100.0,1,19607.49375033721
2941298520,30114968,15/03/1998 00:00,61.0,1,28048.727616124022
2941139670,30215694,17/03/1998 00:00,79.0,1,23792.0487738914
2941465830,30071330,18/03/1998 00:00,57.0,1,35275.52233550442
2941300020,30114033,19/03/1998 00:00,63.0,1,36277.1343272845
2941657860,30046156,19/03/1998 00:00,51.0,1,36487.03095791488
2942246490,30155842,19/03/1998 00:00,112.0,1,27514.496604274947
2941190100,30133412,20/03/1998 00:00,83.0,1,26670.46479354823
2941686090,30117785,22/03/1998 00:00,85.0,1,34968.778663021774
2941317120,30216733,23/03/1998 00:00,59.0,1,25506.88758410487
2941510170,30057228,23/03/1998 00:00,46.0,1,34208.5878225213
2941211670,30055720,24/03/1998 00:00,71.0,1,29463.13091577539
2941383150,30060494,24/03/1998 00:00,47.0,1,28564.92178020396
2941319370,30055064,25/03/1998 00:00,138.0,1,57625.18067722339
2941322760,30143834,25/03/1998 00:00,75.0,1,24478.145064115244
2941345350,30085899,25/03/1998 00:00,47.0,1,38795.14958055608
2941240380,30116883,26/03/1998 00:00,77.0,1,50888.006982945655
2941309920,30112970,26/03/1998 00:00,300.0,1,17401.130334694168
2941267800,30053710,29/03/1998 00:00,65.0,1,34824.67655314669
2941286940,30048470,29/03/1998 00:00,34.0,1,36180.93170491224
2941305240,30061085,29/03/1998 00:00,50.0,1,51891.16976601982
2941480680,30127568,29/03/1998 00:00,65.0,1,21519.2484080134
2941512600,30125086,29/03/1998 00:00,74.0,1,20083.42017808683
2941840080,30094723,29/03/1998 00:00,75.0,1,26101.695502041253
2941285920,30148479,30/03/1998 00:00,63.0,1,31123.005952916206
2941358910,30184150,30/03/1998 00:00,49.0,1,26506.94592532263
2941295070,30055872,01/04/1998 00:00,20.0,3,38929.80212101832
2941362120,30094534,01/04/1998 00:00,84.0,1,26694.72145441256
2941513830,30147240,01/04/1998 00:00,77.0,1,27301.419669285577
2941572780,30096363,02/04/1998 00:00,75.0,1,18769.355262613633
2941573260,30057237,02/04/1998 00:00,75.0,1,17232.92573890411
2941316880,30219094,03/04/1998 00:00,75.0,1,26700.653614735766
2941483650,30151196,03/04/1998 00:00,110.0,1,36013.60603486204
2941374540,30179175,05/04/1998 00:00,71.0,1,30134.956684100944
2941594290,30098445,05/04/1998 00:00,50.0,1,31642.14316396369
2941841550,30050807,05/04/1998 00:00,42.0,1,36334.4819796171
2941360620,30163108,06/04/1998 00:00,122.0,1,27850.763353462942
2941519320,30156255,06/04/1998 00:00,100.0,1,24541.34725708995
2941526490,30143342,06/04/1998 00:00,75.0,1,27032.85459283512
2941837350,30098246,07/04/1998 00:00,36.0,1,28202.478869893268
2941370070,30111505,08/04/1998 00:00,100.0,1,16039.078473859548
2941394310,30224732,08/04/1998 00:00,75.0,1,26949.804348310285
2941489590,30144099,08/04/1998 00:00,65.0,1,29083.556784563843
2941399260,30046287,09/04/1998 00:00,32.0,1,35912.7424566394
2941570050,30224716,09/04/1998 00:00,70.0,1,34124.75225922406
2941523520,30172978,10/04/1998 00:00,40.0,1,30131.66684166818
2941464360,30103667,14/04/1998 00:00,100.0,1,27375.436851500082
2941431690,30143379,19/04/1998 00:00,51.0,1,29556.11643383979
2941487640,30148396,20/04/1998 00:00,75.0,1,26368.452636636408
2941557210,30172063,20/04/1998 00:00,53.0,1,24562.501564657596
2941715310,30055676,21/04/1998 00:00,53.0,1,41309.66172237868
2941494300,30117532,22/04/1998 00:00,106.0,1,44130.23606473171
2941562850,30093756,22/04/1998 00:00,50.0,1,26845.991542654232
2942340750,30148799,22/04/1998 00:00,75.0,1,25454.899946863177
2941492110,30131779,23/04/1998 00:00,55.0,1,33182.34769878798
2941520070,30148440,23/04/1998 00:00,75.0,1,24333.72164577785
2941590060,30064425,23/04/1998 00:00,67.0,1,36814.8098863839
2941627200,30176402,24/04/1998 00:00,41.0,1,44057.14191256707
2941701720,30131974,27/04/1998 00:00,55.0,1,34088.35036633168
2941583940,30216407,28/04/1998 00:00,65.0,1,26352.481435766247
2942042010,30103733,28/04/1998 00:00,125.0,1,39166.49531791411
2941792530,30062067,29/04/1998 00:00,54.0,1,33104.75024809558
