SAID,dmg_prc,dmg_prcB
30000311,0.08,0.01
30000312,0.03,0
30000321,0.01,0
30000322,0.02,0
30000323,0.06,0
30000411,0.05,0.01
30000412,0.02,0
30000413,0.045664069,0.00855469
30000421,0.02,0
30000422,0.01,0
30000431,0.03,0
30000432,0.03,0
30000433,0.03,0
30000511,0.03,0
30000512,0.01,0
30000513,0.02,0
30000514,0.02,0
30000515,0.03,0
30000522,0.03,0
30000523,0.06,0
30000524,0.06,0
30000531,0.03,0
30000532,0.01,0
30000533,0.01,0
30000542,0.03,0
30000611,0.057062166,0.00234523
30000612,0.05,0
30000613,0.08,0.01
30000711,0.04,0
30000712,0.04,0
30000713,0.04,0
30000714,0.01,0
30000721,0.03,0
30000722,0.01,0
30000723,0.03,0
30000724,0.03,0
30000811,0.01,0
30000812,0.01,0
30000813,0.01,0
30000814,0.03,0
30000815,0.01,0
30000816,0.03,0
30000911,0.01,0
30000912,0.02,0
30000913,0.04,0
30000914,0.04,0
30000921,0.01,0
30000922,0.02,0
30000923,0.02,0
30001011,0.04,0
30001012,0.04,0
30001013,0.04,0
30001014,0.03,0
30001021,0.04,0
30001022,0.01,0
30001023,0,0
30001024,0,0
30001025,0.04,0
30001026,0.04,0
30001031,0.01,0
30001032,0.03,0
30001033,0.03,0
30001114,0.01,0
30001115,0.12,0.01
30001121,0.01,0
30001122,0.04,0
30001123,0.03,0
30001124,0.03,0
30001125,0.04,0
30001131,0.01,0
30001132,0.02,0
30001133,0.02984342,0
30001141,0.02,0
30001142,0.03,0
30001143,0.01,0
30001144,0.03,0
30001151,0.02141223,0.001005934
30001152,0.060206373,0
30001154,0.07,0
30001211,0.01,0
30001212,0.03,0
30001213,0.01,0
30001214,0.06,0
30001215,0.06,0
30001216,0.04,0
30001221,0.03,0
30001222,0.04,0
30001223,0.03,0
30001311,0.04,0
30001312,0.04,0
30001313,0.04,0
30001314,0.07,0
30001315,0.04,0
30001321,0.04,0
30001322,0.02,0
30001331,0.01,0
30001332,0.1,0.01
30001333,0.04,0
30001334,0.06,0
30001335,0.04,0
30001336,0.1,0.01
30001411,0,0
30001412,0.03,0
30001421,0.02,0
30001422,0.02,0
30001423,0.01,0
30001424,0.01,0
30001425,0.01,0
30001426,0.01,0
30001431,0.01,0
30001432,0,0
30001433,0.01,0
30001434,0.01,0
30001435,0,0
30001436,0.01,0
30001437,0.01,0
30001438,0.01,0
30001441,0,0
30001442,0.03,0
30001443,0.04,0
30001444,0.04,0
30001511,0.01,0
30001512,0.01,0
30001513,0.03,0
30001514,0.03,0
30001515,0.05,0
30001521,0.03,0
30001522,0.06,0.01
30001523,0.06,0.01
30001524,0.02,0
30001525,0.03,0
30001711,0.05,0
30001712,0.03,0
30001714,0.04,0
30001715,0.03,0
30001716,0.053489482,0
30001721,0.03,0
30001722,0.02,0
30001723,0.06,0
30001724,0.03,0
30001811,0.019178471,0.000115168
30001812,0.07,0
30001814,0.05783153,0
30001815,0.03,0
30001816,0.09,0
30001817,0.09,0
30001818,0.03,0
30002911,0.39,0.02
