Statistical area (SA),Population of Israelis at the beginning of the year ,Births ,Deaths ,Natural increase ,Immigrants ,Family unification ,Current religion ,Previous religion ,Balance of change of religion ,"Descending, departing","Coming down, coming in",Balance of departures abroad and returns from abroad,Leaving institutions,Entering institutions,Balance of residents of institutions ,Migration within a settlement within an SA leaving,Migration within a settlement within an SA entering ,Migration balance within a settlement within a SA,Migration within a settlement between SA leaving,Migration within a settlement between SA entering,Migration balance within a settlement between SA,"Migration between settlements, leaving","Migration between settlements, entering",Migration balance between settlements ,Total migration balance,Total Growth,Israeli population at the end of the year,Percentage annual growth in the Israeli population,,,,,,
אזור סטטיסטי,אוכלוסיית הישראלים בתחילת שנה,לידות,פטירות,ריבוי טבעי,עולים,איחוד משפחות,דת נוכחית,דת קודמת,מאזן שינוי דת,יורדים יוצאים,יורדים נכנסים,"מאזן יציאות לחו""ל וחזרות מחו""ל",מוסדות יוצאים,מוסדות נכנסים,מאזן דיירי מוסדות,"הגירה בתוך יישוב בתוך א""ס יוצאים","הגירה בתוך יישוב בתוך א""ס נכנסים","מאזן הגירה בתוך יישוב בתוך א""ס","הגירה בתוך יישוב בין א""ס יוצאים","הגירה בתוך יישוב בין א""ס נכנסים","מאזן הגירה בתוך יישוב בין א""ס",הגירה בין יישובים יוצאים,הגירה בין יישובים נכנסים,מאזן הגירה בין יישובים,מאזן הגירה כולל,"סה""כ גידול",אוכלוסיית הישראלים בסוף שנה,אחוז גידול שנתי באוכלוסיית הישראלים,,,,,,
67000011,"7,597",113,42,71,6,5,11,11,0,44,6,-38,80,54,-26,130,130,0,192,170,-22,205,88,-117,..,-139,"7,459",3.45%,,,,,,
67000012,"5,802",157,28,129,6,..,..,..,..,18,5,-13,68,92,24,149,149,0,204,237,33,147,104,-43,..,157,"5,959",-3.64%,,,,,,
67000013,"2,842",94,11,83,..,..,..,..,..,4,..,..,19,24,5,78,78,0,115,67,-48,85,42,-43,-86,-5,"2,837",2.45%,,,,,,
67000014,982,9,7,2,4,..,..,..,..,19,..,..,9,26,17,9,9,0,29,34,5,45,40,-5,5,34,"1,016",2.88%,,,,,,
67000015,847,14,12,2,..,..,..,..,..,9,..,..,5,8,3,4,4,0,47,14,-33,21,35,14,-18,-31,816,2.02%,,,,,,Migration between settlements outgoing 
67000021,"5,797",81,55,26,5,..,10,10,0,20,15,-5,74,46,-28,153,153,0,152,335,183,144,128,-16,..,142,"5,939",-1.42%,,,,,,
67000022,"1,545",27,19,8,..,..,..,..,..,13,..,..,4,71,67,21,21,0,53,62,9,47,27,-20,45,44,"1,589",-1.10%,,,,,,
67000023,"1,854",26,33,-7,..,..,5,5,0,14,6,-8,33,151,118,21,21,0,59,39,-20,71,39,-32,62,37,"1,892",0.61%,,,,,,
67000024,"2,662",32,8,24,..,..,..,..,..,9,..,..,5,6,1,27,27,0,83,62,-21,51,20,-31,-57,-38,"2,624",4.50%,,,,,,
67000025,"3,361",44,18,26,6,..,7,7,0,9,4,-5,25,11,-14,77,77,0,71,102,31,100,43,-57,..,-37,"3,324",0.81%,,,,,,
67000031,"4,045",82,29,53,..,..,..,..,..,17,9,-8,28,33,5,66,66,0,106,92,-14,90,84,-6,-22,25,"4,070",1.18%,,,,,,
67000032,"3,573",185,18,167,..,..,..,..,..,8,..,..,15,31,16,168,168,0,153,80,-73,89,145,56,-4,161,"3,733",1.25%,,,,,,
67000033,"1,900",49,18,31,..,..,..,..,..,6,7,1,24,14,-10,41,41,0,73,75,2,45,32,-13,-18,15,"1,916",8.51%,,,,,,
67000034,"2,464",59,25,34,..,..,..,..,..,4,..,..,12,11,-1,36,36,0,66,87,21,56,44,-12,7,29,"2,493",0.44%,,,,,,
67000036,"3,339",67,19,48,..,..,..,..,..,8,..,..,15,14,-1,74,74,0,101,128,27,75,78,3,24,42,"3,381",-1.02%,,,,,,
67000037,"2,257",135,..,..,..,..,..,..,..,..,..,..,4,4,0,78,78,0,44,61,17,87,133,46,64,192,"2,449",-3.21%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
