locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt.1,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99,demog_yishuv.age_70_up
67000011,0,0,68.9,85.6,2.0,2.0,3.2,3.4,6.1,81.0,27.7,40.0,24.3,2.8,26.3,25.2,16.1,16.9,11.2,3.2,1.1,,35.5,38.2,19.9,4.8,1.6,1837,578,1049,3109,1086,94700,10.48951049,9.190809191,12.18781219,8.591408591,14.18581419,12.38761239,13.08691309,9.390609391,7.792207792,2.697302697,טבריה,1,31,,,0.271,712
67000012,0,0,55.8,90.8,3.0,3.2,4.1,3.3,9.0,55.9,10.8,44.6,26.2,3.4,23.8,22.8,14.6,10.3,9.7,8.4,10.5,,18.3,18.6,22.6,19.7,20.7,2156,481,743,1888,582,78800,15.1,14.4,10.5,13.0,13.0,12.9,7.6,5.9,5.9,1.7,טבריה,1,31,,,0.18,357
67000013,0,0,58.9,83.6,4.1,3.9,6.4,7.4,8.9,69.7,16.3,38.3,29.5,3.1,31.8,23.2,12.6,8.9,6.5,7.8,9.1,,24.1,20.3,16.3,15.3,24.1,987,213,401,919,358,74400,8.2,15.4,16.5,17.7,7.6,13.5,9.5,7.2,3.0,1.4,טבריה,1,31,,,0.233,233
67000014,0,0,61.3,85.1,3.1,4.8,7.9,5.4,9.9,58.0,15.4,20.9,16.4,1.9,54.8,24.3,9.4,4.3,5.2,1.8,0.3,,69.2,12.4,12.6,4.4,1.4,158,54,203,477,138,75700,14.8,13.1,14.1,13.8,15.8,8.1,7.4,6.7,5.6,0.6,טבריה,1,31,,,0.207,89
67000015,0,0,54.8,86.6,7.5,6.2,8.1,9.3,11.0,42.4,12.6,20.4,34.2,2.2,42.7,33.4,7.4,6.6,5.0,3.7,1.2,,42.2,24.2,16.6,11.3,5.7,161,32,98,388,209,76500,16.0,12.1,13.5,12.8,26.3,10.0,5.1,3.0,1.2,0.0,טבריה,1,31,,,0.204,135
67000021,0,0,63.6,90.2,3.3,4.5,3.5,6.2,11.5,62.4,19.0,32.7,31.4,2.6,29.1,29.0,14.9,14.1,8.4,3.0,1.5,,36.8,32.3,21.2,6.8,2.9,1254,329,697,2455,1097,81000,10.47904192,12.9740519,15.36926148,11.9760479,13.17365269,11.37724551,9.081836327,8.882235529,3.493013972,3.193612774,טבריה,1,31,,,0.277,671
67000022,0,0,62.1,85.0,4.9,3.4,6.8,8.6,7.2,59.4,19.0,25.6,35.0,2.4,39.2,28.3,11.4,6.2,7.3,3.7,3.9,,38.9,29.9,13.9,8.9,8.4,287,102,182,707,301,82700,9.99000999,17.98201798,6.993006993,15.38461538,13.38661339,10.48951049,11.38861139,4.795204795,7.192807193,2.397602398,טבריה,1,31,,,0.253,180
67000023,0,0,55.7,89.4,4.7,7.6,7.1,7.7,15.8,58.4,3.9,30.1,35.9,2.5,17.4,48.5,14.1,10.2,6.3,2.2,1.3,,52.6,24.4,12.6,7.4,3.0,349,95,162,838,451,89200,8.5,7.8,12.6,14.4,19.4,18.7,10.4,5.4,2.8,0.0,טבריה,1,31,,,0.417,345
67000024,0,0,70.9,87.5,2.0,3.0,1.7,2.0,5.6,85.4,40.3,41.7,24.1,3.0,19.9,29.2,13.7,14.2,16.1,5.3,1.6,,32.8,26.0,32.1,7.7,1.4,625,227,380,1109,334,107300,7.507507508,7.407407407,10.31031031,10.11011011,12.41241241,13.81381381,9.80980981,15.01501502,11.11111111,2.502502503,טבריה,1,31,,,0.315,171
67000025,0,0,64.5,90.4,3.0,3.7,2.9,2.0,6.7,85.7,36.4,35.0,19.2,2.8,26.3,28.2,12.3,16.6,11.5,3.3,1.8,,33.2,37.4,19.9,7.3,2.2,718,264,503,1395,509,99900,10.2,11.0,8.6,8.4,13.4,9.4,11.2,13.8,9.6,4.4,טבריה,1,31,,,0.277,305
67000031,0,0,60.7,82.9,4.0,3.1,3.9,2.5,6.5,72.4,25.3,36.4,33.1,3.0,22.3,33.5,11.7,9.2,11.6,5.9,5.7,,29.4,24.3,21.4,12.2,12.6,1057,235,641,1507,631,77800,14.21421421,13.71371371,13.21321321,12.41241241,11.31131131,11.41141141,9.209209209,7.907907908,4.804804805,1.801801802,טבריה,1,31,,,0.177,383
67000032,0,0,54.1,88.4,4.1,4.5,3.5,4.7,9.9,28.6,1.5,49.7,30.4,3.4,28.3,18.8,12.1,6.4,15.3,7.3,11.7,,19.0,18.5,25.0,14.5,23.0,1640,170,585,867,347,57700,14.6,18.9,26.1,15.9,10.5,7.8,5.4,0.8,0.0,0.0,טבריה,1,31,,,0.15,292
67000033,0,0,55.3,94.0,5.9,10.7,11.3,8.0,17.8,37.0,6.3,26.9,32.8,2.4,37.2,28.2,15.7,8.3,3.9,3.2,3.5,,45.8,22.5,8.6,13.6,9.5,416,112,261,776,360,64200,16.21621622,17.21721722,15.61561562,15.21521522,15.01501502,11.61161161,7.007007007,2.102102102,0.0,0.0,טבריה,1,31,,,0.191,254
67000034,0,0,53.4,94.8,1.3,4.9,3.1,5.1,9.4,43.0,11.3,32.6,30.2,2.6,36.7,25.6,11.5,9.7,8.2,4.2,4.0,,41.8,18.0,19.7,10.9,9.6,712,132,443,835,360,61600,16.9,18.9,17.0,12.9,14.4,6.1,8.9,3.3,1.6,0.0,טבריה,1,31,,,0.315,228
67000036,0,0,56.5,87.2,3.5,5.8,6.6,7.0,12.6,61.9,17.1,35.8,33.7,2.9,30.6,27.1,9.6,9.8,12.1,6.1,4.8,,34.0,26.4,22.7,7.4,9.4,961,228,538,1212,463,73500,16.6,9.6,13.8,19.8,13.1,12.6,7.7,3.9,1.5,1.4,טבריה,1,31,,,0.196,354
