ParamVaried,wservice,eld_movef,svc_filter,Replicate,PopChange_E,PopChange_NE,SAServiceAvg_E,SAServiceAvg_NE,SAServiceDelta_E,SAServiceDelta_NE,BldServiceAvg_E,BldServiceAvg_NE,BldServiceDelta_E,BldServiceDelta_NE,NormAssetsCity_Avg_E,NormAssetsCity_Avg_NE,NormAssetsCity_Delta_E,NormAssetsCity_Delta_NE,NormAssetsSA_Avg_E,NormAssetsSA_Avg_NE,NormAssetsSA_Delta_E,NormAssetsSA_Delta_NE,AttemptSA_Avg_E,AttemptSA_Avg_NE,AttemptSA_Delta_E,AttemptSA_Delta_NE,AttemptCity_Avg_E,AttemptCity_Avg_NE,AttemptCity_Delta_E,AttemptCity_Delta_NE,SuccessSA_Avg_E,SuccessSA_Avg_NE,SuccessSA_Delta_E,SuccessSA_Delta_NE,SuccessCity_Avg_E,SuccessCity_Avg_NE,SuccessCity_Delta_E,SuccessCity_Delta_NE
wservice,0,1,0,1,-88,-428,2.38471481224549,0.572531506338388,0.841784441600903,1.00924544961611,0.855693780083781,0.82351444585923,1.11232231919275,1.02989788921923,1103.14193587913,1311.29261089471,-4232,-1417,79.4124650226943,100.027077238689,NaN,-0.333333333333333,0.00221247841173389,0.0023832031447706,-6.97495989398061e-05,-2.70238955567638e-05,0.00168935261648903,0.00189316170171107,5.51168477171604e-06,-5.91283248862364e-05,0.314458222201426,0.36818464613489,NaN,-0.333333333333333,0.607000577181035,0.578536381040912,-1,-0.7
wservice,0,1,0,2,-92,-418,2.38160689925025,0.575585950770717,0.869252914947342,1.02800780475286,0.844517885297975,0.828355244794386,1.09324747400278,1.03506032684266,1195.53978471859,1410.95574154061,-1981,-2829.75,105.691000798144,75.7969481544589,NaN,-535.5,0.00215558034024506,0.002399645253212,0,-7.78689125933537e-05,0.00165989236398937,0.00187519154188828,0.000258993831835988,0.000160008279720928,0.290555344126773,0.339708260742559,NaN,-1,0.548217459371109,0.599563664471342,-1,-1
wservice,0,1,0,3,-85,-412,2.39590656952132,0.586190251706569,0.89685317431403,1.0548443008425,0.86826619640793,0.847425081333958,1.13236765412464,1.07333393482885,1107.73567911724,1340.6924950484,-1980,-1132.85714285714,62.3657120736992,74.2109044530421,NaN,0,0.00224973330677304,0.00244923877817366,0,0,0.00164661644304516,0.00193059790584631,5.31974815686371e-06,-6.04784713009505e-05,0.327506038720494,0.305199207576108,NaN,0,0.567485442331004,0.570417767139654,-1,-0.571428571428571
wservice,0,1,0,4,-116,-395,2.37708451348122,0.568428064442281,0.831013163539071,1.00908380169624,0.847900779943433,0.822611575249413,1.09443794951566,1.0200383483908,958.661373042163,1420.37444803106,NaN,-3293.85714285714,95.9677931126215,73.874945083319,NaN,0,0.00211441597385164,0.00233916752847377,0,-5.04591785245736e-05,0.00162986951497514,0.00187336339734289,0.000254841997961264,3.43768519041917e-05,0.371735113763055,0.344062473904993,NaN,0,0.454134870976976,0.600401675711973,NaN,-0.857142857142857
wservice,0,1,0,5,-123,-486,2.40891148212797,0.596453314592907,0.943600165487823,1.09217340711033,0.871203261522651,0.858171111442827,1.13889718176972,1.08863733030774,1090.98048781352,1368.99762501246,-458,-1157.5,43.9730476861395,46.5419452507478,NaN,0,0.00229026137762888,0.00243551885008099,0,-9.75853089837864e-05,0.00183127490373708,0.00195289440037001,7.76095746238145e-06,0.000193332945691193,0.311143633767282,0.312657204919476,NaN,0,0.542014577673965,0.591641111180423,-1,-0.833333333333333
wservice,0.25,1,0,1,-83,-407,2.42820139333815,0.581527392344351,0.927803401751802,1.04164707456521,0.866135948230018,0.829402263128716,1.12380882677115,1.03480494104681,1197.70592280015,1372.77900723649,NaN,-1912.5,79.3085666450938,95.2751011668254,NaN,NaN,0.00235340676606357,0.00243711233561963,0,-2.42706664725013e-05,0.00171182433607902,0.00188730456541012,-0.00024740227610094,-0.000185958797593333,0.316587739426533,0.357922132983898,NaN,NaN,0.5900342895779,0.59279269175485,NaN,-0.6
wservice,0.25,1,0,2,-74,-428,2.41657064814151,0.576786639651025,0.911225614140758,1.02687695486555,0.852669990427739,0.83348096487889,1.11061674195606,1.04916598893333,1184.83785691127,1221.47757302429,NaN,-2050.90909090909,41.9585562212475,57.2878232173269,NaN,0,0.00245423432061246,0.00240299609370932,0,-2.78382671533211e-05,0.00172524819070327,0.0018957221242479,0.000504159314343333,-9.03853755806691e-05,0.268644425424676,0.340956654098124,NaN,0,0.552102632615014,0.573029275726265,NaN,-0.727272727272727
wservice,0.25,1,0,3,-62,-286,2.43334468603679,0.584853877983987,0.950258390596201,1.04591650177267,0.867681729807459,0.832558867273654,1.13303749946331,1.04502422974239,1230.91377826039,1296.53275895717,NaN,-2132.5,85.608636392711,85.4022028655456,NaN,NaN,0.0024223688494238,0.00241545671699094,0,0,0.0015925926252829,0.00181958964473627,-0.000247463499133878,3.26644040118086e-05,0.42179172329818,0.370630186367989,NaN,NaN,0.629850265614853,0.586491225203911,NaN,-1
wservice,0.25,1,0,4,-63,-427,2.41317947619196,0.570702296695129,0.895914105898435,1.00754195193454,0.843594745830074,0.820681643251144,1.09236836862605,1.02686199344024,971.102578598604,1312.36675402031,NaN,-2390.14285714286,60.3058588556732,66.0571090636047,NaN,0,0.0024372631370568,0.00234372331470965,0,0,0.00163674078958628,0.00188013223101048,0,2.95879409127099e-06,0.269893501174442,0.317161384225127,NaN,0,0.582799239098625,0.585627921683067,NaN,-0.714285714285714
wservice,0.25,1,0,5,-98,-479,2.42475973625919,0.582648066947764,0.930034795450469,1.05876093997654,0.857769696017866,0.843732038382128,1.11617142133143,1.06758075545805,1167.98085588448,1438.77867697394,-1414.5,-2316.1,68.1308998133946,64.7804020446006,NaN,-240,0.00245844216761615,0.00243073761544893,0,-3.37341064429162e-05,0.00180733696076689,0.00192499848335407,0.00102728415708828,3.64867599240341e-05,0.322842418916583,0.325221027646723,NaN,-0.5,0.559264521638677,0.60215968327826,-0.5,-0.7
wservice,0.5,1,0,1,-77,-394,2.43107428099788,0.577676226128177,0.952867827991269,1.03937090803412,0.850800009864215,0.836748023238414,1.11122301248395,1.06026454206439,1470.42567431562,1377.8110078276,0,-1987.5,74.2581812853662,77.8204004372327,0,NaN,0.00248566784730289,0.00240220707846759,0,-2.53765241774834e-05,0.00171579899003917,0.00185647527284301,0.000509477518531565,2.33840196500073e-06,0.271524099395034,0.381357441294856,0,NaN,0.580902189597842,0.587269814730548,0,-0.666666666666667
wservice,0.5,1,0,2,-90,-389,2.42538674822179,0.567628752964251,0.90884844765657,0.999057390953057,0.861890447764514,0.820176815338037,1.11163058263717,1.01690037782067,1103.88124197329,1269.41578101176,-2358,-2833,80.3064613482875,103.167283818424,0,NaN,0.002359276319338,0.00240435523015851,-0.000607164541590771,0,0.00167966389698725,0.00187533412643452,5.63698175703596e-06,7.69018459612018e-07,0.266342961086991,0.411621591130918,0,NaN,0.561381422584347,0.579826550386281,-1,-1
wservice,0.5,1,0,3,-48,-364,2.42567307874665,0.582787803686978,0.932154045054362,1.03913733662088,0.869643149758011,0.832886321765025,1.12847944482993,1.04012807804188,1292.30516515785,1363.46737853817,-3584,-1641,71.1799394674703,94.2870271773859,NaN,NaN,0.00234113020915146,0.00243902981309964,0,0,0.00158922097174848,0.00186013438216802,2.97180775994725e-06,0.000348512573951,0.265969803312764,0.353178655961509,NaN,NaN,0.572989798320148,0.580851900104948,-1,-1
wservice,0.5,1,0,4,-60,-289,2.42367318419613,0.577642363859874,0.918613525252279,1.03249340463194,0.859665587603263,0.830239444916817,1.11685652161358,1.04517076642683,1201.41226320611,1302.32826339293,0,-2169.33333333333,78.5055618865432,82.2413684105465,NaN,-307.5,0.00244304308764997,0.00239778378796213,0,-7.75467419672271e-05,0.00158856287163928,0.00182794522698379,0.00126033052580268,-9.29243733987208e-05,0.372168158320239,0.32173910338696,NaN,-0.5,0.524198167959298,0.559912118319137,0,-0.833333333333333
wservice,0.5,1,0,5,-76,-417,2.41606685424182,0.567019125467668,0.900042136631042,0.9990447443773,0.828467556868976,0.818060021152045,1.06638351898109,1.01819784593625,1260.24175529426,1431.11834663774,0,-3542.44444444444,95.7312955187201,84.7935733192501,NaN,0,0.00242974595805164,0.00236730277382609,0,-2.42706664725013e-05,0.00171812846820395,0.00187975030344986,4.74331044998102e-06,0.000162047433800595,0.317759541315555,0.361588371580995,NaN,0,0.559861781424281,0.593805983459528,0,-1
wservice,1,1,0,1,-57,-369,2.42779398469778,0.574236540479259,0.931233711357508,1.01726726458221,0.864205571771074,0.830589298852902,1.12312114181476,1.03640977906098,1231.36512923351,1365.9874281158,-4689,-4467.75,54.3904642503867,93.6699940090201,NaN,NaN,0.00241392238795602,0.00241465161870229,-6.97495989398061e-05,0,0.00161804272879107,0.00187004951270312,3.53875275727815e-06,6.4704061415221e-05,0.301184951671466,0.350824943507289,NaN,NaN,0.560031612076649,0.584972249208922,-1,-1
wservice,1,1,0,2,-69,-414,2.43867256358675,0.58583080018594,0.940081316459898,1.04345817217719,0.862606207984685,0.844062183744077,1.11791116472106,1.0588774589593,1407.91018594296,1263.65517008497,NaN,-1674.66666666667,99.4358701792791,76.4924817502492,NaN,0,0.00246333267272265,0.00247375380435032,0,-1.4333218667584e-05,0.0016318703110382,0.00190739025163436,0,-0.000122989805608907,0.395475503446074,0.309011882080362,NaN,0,0.632429637921775,0.572329139333082,NaN,-0.777777777777778
wservice,1,1,0,3,-72,-397,2.43039794390811,0.581339430396245,0.945115093750815,1.04128743698856,0.86184941661842,0.835732654219722,1.12448065254344,1.04810018301762,1383.60167598043,1544.24521902113,NaN,-2961.4,71.0163352403272,69.7246586213514,NaN,NaN,0.00243558086572237,0.00240019474918546,-6.97495989398061e-05,-1.26795744734807e-05,0.00165753131921606,0.00189167764571567,-0.000990344144590245,-6.13335796740016e-05,0.349134777259777,0.388933602641084,NaN,NaN,0.596397091365067,0.606235383219067,NaN,-0.8
