wservice,wservice_old,rep,n_old_old,n_young_old,n_non_elderly,n_old_old_movers,n_young_old_movers,n_non_elderly_movers,pct_old_old_movers,pct_young_old_movers,pct_non_elderly_movers,svc_old_old_movers,svc_young_old_movers,svc_non_elderly_movers
0.25,1.0,1,1735,2355,13611,185,285,1761,10.662824207492795,12.101910828025478,12.938064800528984,0.6758186000966883,0.5992682209244692,0.6453561035154809
0.25,1.0,2,1744,2355,13618,192,271,1745,11.009174311926605,11.507430997876858,12.813922749302394,0.6472636676550229,0.5824082010404071,0.6031644904074335
0.25,1.0,3,1730,2352,13617,176,299,1790,10.173410404624278,12.712585034013605,13.145333039582875,0.6409459983247172,0.6169951250127512,0.6546601584362571
0.25,1.0,4,1735,2355,13611,185,285,1761,10.662824207492795,12.101910828025478,12.938064800528984,0.6758186000966883,0.5992682209244692,0.6453561035154809
0.25,1.0,5,1744,2355,13618,192,271,1745,11.009174311926605,11.507430997876858,12.813922749302394,0.6472636676550229,0.5824082010404071,0.6031644904074335
0.25,1.0,6,1730,2352,13617,176,299,1790,10.173410404624278,12.712585034013605,13.145333039582875,0.6409459983247172,0.6169951250127512,0.6546601584362571
0.25,1.0,7,1733,2360,13630,185,289,1748,10.675129832660128,12.245762711864407,12.824651504035216,0.6134720798865011,0.6187915166397155,0.6460251885417597
0.25,1.0,8,1730,2366,13611,188,294,1770,10.867052023121387,12.42603550295858,13.004187789288077,0.6450383286327576,0.6012298618519133,0.627099661468265
0.25,1.5,1,1732,2364,13609,184,288,1735,10.623556581986143,12.182741116751268,12.748916158424572,0.6644329312035484,0.6004019538363633,0.6559503028831681
0.25,1.5,2,1743,2361,13620,179,288,1779,10.269650028686174,12.198221092757306,13.061674008810572,0.6271500659059974,0.6095196759657947,0.6355304742183768
0.25,1.5,3,1738,2359,13632,197,284,1710,11.334867663981589,12.038999576091564,12.544014084507042,0.6973820120196154,0.5749983223578063,0.654061398433561
0.25,1.5,4,1738,2356,13632,176,280,1764,10.126582278481013,11.884550084889643,12.940140845070422,0.6779601699709429,0.6131177802724257,0.6313769955947823
0.25,1.5,5,1740,2350,13602,179,291,1775,10.28735632183908,12.382978723404255,13.049551536538745,0.6239752648959885,0.5862029269265416,0.6509978386038943
0.25,1.5,6,1744,2341,13617,182,290,1770,10.435779816513762,12.387868432293892,12.998457810090327,0.7039500315716252,0.6326212469500614,0.6595795378085687
0.25,1.5,7,1738,2354,13618,185,284,1795,10.644418872266973,12.064570943075616,13.18108385959759,0.6756285065256558,0.6323776719169268,0.6652748632552309
0.25,1.5,8,1741,2351,13617,179,262,1726,10.281447443997703,11.144193960017015,12.675332305206727,0.6832625301975499,0.6089089381825382,0.6126034448224777
0.25,2.0,1,1733,2353,13596,177,287,1751,10.213502596653203,12.197195070123247,12.878787878787879,0.6518933959251686,0.5999963803324684,0.636595779656983
0.25,2.0,2,1741,2360,13613,185,286,1765,10.626076967260195,12.11864406779661,12.965547638286932,0.7372309139084001,0.6243950347857743,0.6548969984067544
0.25,2.0,3,1734,2364,13651,190,285,1787,10.957324106113033,12.055837563451776,13.090616072082632,0.6478372098057715,0.6111476734074125,0.6254472118582491
0.25,2.0,4,1722,2363,13623,181,290,1761,10.511033681765388,12.272534913245874,12.926668134772077,0.7566722546041861,0.6370114453992098,0.641928209630155
0.25,2.0,5,1725,2365,13609,175,271,1732,10.144927536231885,11.458773784355179,12.726871922992137,0.7135734594576649,0.6233687727254063,0.6407717282475763
0.25,2.0,6,1733,2352,13620,181,282,1776,10.444316214656665,11.989795918367347,13.039647577092511,0.6815336945425202,0.6313077799445532,0.6306764098373652
0.25,2.0,7,1728,2360,13627,182,291,1768,10.532407407407407,12.330508474576272,12.974242313054964,0.6678234430773015,0.5720913557235037,0.6471605552437129
0.25,2.0,8,1733,2349,13610,182,268,1771,10.50201961915753,11.409110259684972,13.012490815576783,0.7384496278365267,0.6509068636467574,0.6695497826184756
0.35,1.0,1,1742,2352,13624,199,295,1762,11.423650975889782,12.54251700680272,12.93305930710511,0.6811685101827563,0.6193074625073312,0.6543548257772989
0.35,1.0,2,1735,2362,13623,203,285,1773,11.70028818443804,12.066045723962743,13.014754459370183,0.6649169807514834,0.6021604891935768,0.6561518571236293
0.35,1.0,3,1741,2366,13610,184,298,1759,10.568638713383113,12.595097210481827,12.924320352681852,0.657384316193516,0.6254835974423898,0.6419468073336154
0.35,1.0,4,1738,2367,13627,175,272,1772,10.06904487917146,11.49133924799324,13.003595802451017,0.6620062181492626,0.5936881359164955,0.6376530161130168
0.35,1.0,5,1725,2352,13633,187,290,1765,10.840579710144928,12.329931972789115,12.946526809946453,0.7135658623154139,0.6412169439278006,0.6635928104807398
0.35,1.0,6,1733,2347,13618,186,286,1745,10.732833237160992,12.185769066893908,12.813922749302394,0.6805799383590766,0.612820528975433,0.6446579377089925
0.35,1.0,7,1724,2356,13637,180,287,1773,10.440835266821345,12.181663837011884,13.001393268314146,0.6432357372694395,0.6185901102625688,0.6593250331796894
0.35,1.0,8,1743,2353,13630,195,300,1829,11.187607573149743,12.74968125796855,13.418928833455613,0.6759985434825405,0.6395782372671711,0.6654596817434674
0.35,1.5,1,1742,2355,13620,177,288,1785,10.16073478760046,12.229299363057326,13.105726872246697,0.7200290639822696,0.5612733013686246,0.6552450978468436
0.35,1.5,2,1737,2350,13649,183,288,1778,10.535405872193436,12.25531914893617,13.026595354971061,0.6587462485880646,0.6484179883133746,0.6528387067258876
0.35,1.5,3,1729,2360,13651,167,296,1753,9.658762290341238,12.542372881355933,12.841550069591971,0.6940135034339974,0.5933701135160763,0.6364180464254844
0.35,1.5,4,1730,2343,13638,167,267,1739,9.653179190751445,11.395646606914212,12.751136530283032,0.6602957697529075,0.5955544653671889,0.6212347130333501
0.35,1.5,5,1733,2355,13616,175,284,1799,10.098095787651472,12.059447983014863,13.212397179788484,0.7204745234785402,0.6521058354705375,0.6669050459098876
0.35,1.5,6,1736,2351,13614,187,274,1748,10.771889400921658,11.654615057422374,12.83972381372117,0.6679553939770145,0.6271977338769736,0.6501111196593208
0.35,1.5,7,1730,2343,13644,176,278,1772,10.173410404624278,11.86513017498933,12.987393726180006,0.7728410930164511,0.6004375533047406,0.6329541995270858
0.35,1.5,8,1740,2364,13611,184,290,1775,10.574712643678161,12.267343485617598,13.040922783043127,0.6578540359387136,0.6616936717208902,0.6625138330819488
0.35,2.0,1,1737,2354,13601,186,274,1802,10.708117443868739,11.639762107051826,13.249025806925962,0.7141860040323837,0.6051735515326009,0.6650964141520166
0.35,2.0,2,1730,2352,13610,172,266,1734,9.942196531791907,11.30952380952381,12.740631888317413,0.68151577320902,0.6463511823653888,0.6414191181448227
0.35,2.0,3,1735,2364,13614,170,260,1741,9.798270893371757,10.998307952622673,12.788306155428236,0.7181587995314132,0.5875977071387631,0.639012656871051
0.35,2.0,4,1731,2378,13645,191,292,1757,11.034084344309647,12.279226240538268,12.876511542689629,0.7170049869961465,0.664171385523766,0.6534477871680988
0.35,2.0,5,1732,2355,13604,170,277,1756,9.815242494226329,11.762208067940552,12.907968244633931,0.7110471086243895,0.6601205323765269,0.6475898212633016
0.35,2.0,6,1724,2359,13631,193,279,1773,11.194895591647331,11.827045358202628,13.00711613234539,0.6871998551491318,0.658315196146517,0.6513313450012549
