wservice_old,rep,n_old_old_movers,n_young_old_movers,svc_old_old,svc_young_old,svc_non_elderly
0.25,1,190,269,0.6291033233659439,0.6614406667905336,0.6595639616245808
0.25,2,173,273,0.6367227219699678,0.622131866235691,0.6521763778022222
0.25,3,204,289,0.563805985787512,0.62360598082667,0.650561009143283
0.5,1,185,272,0.5873457062948954,0.6280571717229336,0.6569183598429627
0.5,2,191,290,0.6342128830196678,0.5390474491196809,0.6475941000753721
0.5,3,182,288,0.6648350575339028,0.5773993623695077,0.6728932644240485
1.0,1,176,273,0.6813447982685499,0.6085661121672394,0.6684817131188535
1.0,2,173,256,0.5991736662164516,0.5782489662642507,0.619024026820667
1.0,3,177,301,0.6818083842668394,0.633684052926947,0.6605938923110293
2.0,1,186,302,0.7142813741439471,0.6304316876366806,0.6436911086472874
2.0,2,179,273,0.6955855640978938,0.594707230783227,0.6580936100306649
2.0,3,185,273,0.6597118849534217,0.5729805920430343,0.6443280501764058
